"SITE_ID","Met_Var","Season","Slope","pvalue","Met_Var_Median","Npts","PearsonR","SpearmanR","RMSE","Slope_SE"
"AT-Neu","P_F_sum","Spring",-0.9894032670234,0.18497332522423,121.804,11,-0.431630373715546,-0.736363636363636,100.770563334241,0.68924078690975
"BE-Bra","P_F_sum","Spring",-0.652680693858391,0.0203492374223671,159.03,19,-0.527268161832709,-0.403508771929825,54.286893588021,0.255099632753548
"BE-Dor","P_F_sum","Spring",-0.451754023351722,0.609148204681847,124.109,9,-0.198236533837754,-0.25,104.989875566245,0.844235720327778
"BE-Vie","P_F_sum","Spring",-0.376964761279014,0.00483272130547067,196.441,23,-0.566456717449951,-0.454545454545455,41.9489079429474,0.119673999664878
"CA-Ca1","P_F_sum","Spring",0.129879799433065,0.151185288110404,234.069,7,0.603691486865008,0.5,16.9031853010018,0.0767041158384012
"CA-Ca2","P_F_sum","Spring",0.590961825255875,0.111610527954973,237.3685,6,0.713166860002248,0.828571428571429,60.5693051001453,0.29043755618483
"CA-Ca3","P_F_sum","Spring",0.141358821544747,0.277825029142936,254.511,9,0.40633285857494,0.2,43.1722627320432,0.12014550315741
"CA-Cbo","P_F_sum","Spring",-0.167905989493422,0.634355618785051,234.5315,14,-0.139491618309284,-0.0197802197802198,61.039753885022,0.344080905615967
"CA-Gro","P_F_sum","Spring",-0.407044012937643,0.0387114815567487,187.349,11,-0.627603769639384,-0.509090909090909,26.4118956143271,0.168310633504151
"CA-Man","P_F_sum","Spring",-0.433299412638088,0.4324181470225,45.413,11,-0.264201850977676,-0.290909090909091,37.7360829746681,0.52725237671943
"CA-Oas","P_F_sum","Spring",0.0590311093244429,0.854593340524911,83.9895,14,0.05397560713727,-0.0857142857142857,49.1781338995813,0.315253003371401
"CA-Obs","P_F_sum","Spring",0.38320165989908,0.11833954235598,86.006,11,0.498789322475377,0.427272727272727,29.6354800907345,0.22195729904459
