"SITE_ID","Met_Var","Season","Slope","pvalue","Met_Var_Median","Npts","PearsonR","SpearmanR","RMSE","Slope_SE"
"AT-Neu","PDSI_mean","Spring",7.47885998739179,0.817598773347492,-2.18333333333333,11,0.0789146720185326,0.0182232819031282,111.364375403414,31.4919732590198
"BE-Bra","PDSI_mean","Spring",-2.98689550869977,0.657664186257822,-1.13833333333333,20,-0.105611547164479,-0.124812030075188,61.9878505567225,6.62882794956405
"BE-Dor","PDSI_mean","Spring",-28.100931470571,0.315642770182985,-1.98666666666667,9,-0.378143404350662,-0.166666666666667,99.1620140523882,26.0020443109839
"BE-Vie","PDSI_mean","Spring",-6.12387544490354,0.275333747721776,-1.54,23,-0.237428754739771,-0.214479868173616,49.4476370916715,5.46743591347726
"CA-Ca1","PDSI_mean","Spring",1.1804809393493,0.790670042305444,-2.06,7,0.124262680330743,-0.0357142857142857,21.0383785813389,4.21554845897831
"CA-Ca2","PDSI_mean","Spring",19.5241752192401,0.44369045054677,-2.54166666666667,6,0.39076218855957,0.314285714285714,79.534939896147,22.9958797858162
"CA-Ca3","PDSI_mean","Spring",-5.99237351248314,0.519243414520072,-2.08,9,-0.248413187887248,-0.0333333333333333,45.7675845728374,8.83169285479311
"CA-Cbo","PDSI_mean","Spring",-10.1709037515728,0.139914924809849,1.37666666666667,14,-0.415147650142403,-0.578021978021978,56.0794377519161,6.43413745055441
"CA-Gro","PDSI_mean","Spring",-9.07100576073303,0.0298410725187504,-1.59333333333333,11,-0.65160920617068,-0.854545454545455,25.7341349017595,3.51992945119433
"CA-Man","PDSI_mean","Spring",-7.3542910835735,0.505778121803888,-0.6,11,-0.225082877286743,0.0272727272727273,38.1223465791385,10.6117611408789
"CA-Oas","PDSI_mean","Spring",2.12158786624784,0.612244817048651,0.826666666666665,14,0.148562346140778,0.147252747252747,48.7034034554055,4.07676205491033
"CA-Obs","PDSI_mean","Spring",5.5461715611173,0.054976628474121,1.72666666666667,11,0.592070172270727,0.545454545454545,27.555313005686,2.51635955564502
"CA-Qfo","PDSI_mean","Spring",1.0754293223,0.84826951330928,0.383333333333333,7,0.0897375174463588,0,21.2099205690185,5.3378589523163
"CA-TP1","PDSI_mean","Spring",-10.113775271497,0.645904364243355,0.146666666666667,5,-0.281884923734376,-0.5,71.8306246777924,19.8747816179577
"CA-TP3","PDSI_mean","Spring",-15.9961053768904,0.126675739488029,1.23166666666667,10,-0.516165091472852,-0.587878787878788,54.2392690468666,9.38431289126159
"CA-TP4","PDSI_mean","Spring",-10.5319233498744,0.0712885096464623,0.773333333333333,15,-0.478337966103614,-0.464285714285714,41.2972028847091,5.36268936813391
"CA-WP1","PDSI_mean","Spring",-5.69484678747179,0.255896633627469,-0.235,6,-0.552193396141172,-0.257142857142857,16.5703472058851,4.29911441026617
"CH-Aws","PDSI_mean","Spring",71.3669249084972,0.317792395543577,-0.333333333333333,6,0.495310264973577,0.485714285714286,95.3448056602255,62.5846104000474
"CH-Cha","PDSI_mean","Spring",-48.3861016434894,0.19775023841437,-1.42,13,-0.381978108158294,-0.472527472527473,209.585593907567,35.2970433801793
"CH-Dav","PDSI_mean","Spring",10.0691583649223,0.0411478947368903,-1.38,23,0.428881159981839,0.429841897233202,38.5137270039565,4.62815455538505
"CH-Fru","PDSI_mean","Spring",-47.0094042993461,0.00266104158808591,-1.36666666666667,15,-0.716355626960918,-0.575,68.9029043942619,12.6991636660158
"CH-Lae","PDSI_mean","Spring",-14.9686850014718,0.280661079873617,-1.53166666666666,16,-0.287275001386896,-0.0852941176470588,85.8853490401194,13.3388521756583
"CH-Oe1","PDSI_mean","Spring",-31.7628576060473,0.334934697582523,-0.481666666666667,6,-0.480313039664218,-0.6,92.2212983187533,29.0009942471903
"CZ-BK1","PDSI_mean","Spring",-14.8930446814608,0.118416672638612,-1.13333333333333,15,-0.420685110791106,-0.339285714285714,47.1478767551247,8.90760467811329
"CZ-Lnz","PDSI_mean","Spring",-1.88765346044163,0.854165596851068,-0.383333333333335,6,-0.0975321947096505,-0.2,49.1142232505507,9.63094203626757
"CZ-RAJ","PDSI_mean","Spring",-10.4450161159912,0.322922075950946,-3.4,9,-0.372918143927719,-0.283333333333333,52.689273952742,9.82270316584539
"CZ-Stn","PDSI_mean","Spring",3.27177718972978,0.705648257540162,-0.366666666666667,11,0.12889583839547,0.109090909090909,58.1044224696412,8.39045572664956
"CZ-wet","PDSI_mean","Spring",-6.28733243523197,0.150757968193471,-0.541666666666667,14,-0.40508894749652,-0.6,30.947226720224,4.09640921380405
"DE-Gri","PDSI_mean","Spring",-14.1370301929604,0.303265302213869,-1.095,16,-0.274650557107687,-0.382352941176471,107.220121292665,13.2276560702855
