year,GPP_NT_VUT_REF_sum,NEE_VUT_REF_QC_mean,P_F_sum,P_F_QC_mean,P_ERA_sum,P_F_jfmam_sum,P_F_QC_jfmam_mean,P_ERA_jfmam_sum,TA_F_mean,TA_F_QC_mean,TA_ERA_mean,PPFD_IN_mean,PPFD_IN_QC_mean,SW_IN_F_mean,SW_IN_F_QC_mean,SW_IN_ERA_mean,VPD_F_mean,VPD_F_QC_mean,VPD_ERA_mean,NETRAD_mean,NETRAD_QC_mean,G_F_MDS_mean,G_F_MDS_QC_mean,LE_F_MDS_mean,LE_F_MDS_QC_mean,LE_CORR_mean,H_F_MDS_mean,H_F_MDS_QC_mean,H_CORR_mean,SWC_F_MDS_1_mean,SWC_F_MDS_1_QC_mean,SITE_ID,keep_year,season,PDSI_mean
2002,691.26381,0.944067109,272.867,1,171.692,317.286,1,201.947,7.183652174,0.999773696,6.513913043,NA,0.662817029,180.9380217,0.95086062,176.8556739,4.368880435,0.995697533,3.078282609,39.97919931,0.967391304,5.35293163,0.994791663,46.383975,0.987092478,31.27838696,8.649878043,0.984828065,5.656237717,NA,NA,AT-Neu,TRUE,Spring,0.083333333
2003,629.19544,0.881340435,141.178,1,117.063,175.35,1,146.981,7.535141304,1,6.812608696,363.8772902,0.999547101,193.5361522,0.999320761,196.988,4.757141304,1,3.735369565,81.28809406,0.997735507,5.192168098,0.858922033,39.77180543,0.914175957,62.14529783,8.689598152,0.916666739,13.53322707,34.46854348,0.921874946,AT-Neu,TRUE,Spring,-2.183333333
2004,590.139071,0.881567272,168.746,1,141.123,294.247,1,200.612,5.742130435,0.866847924,4.674586957,374.7947681,0.860280797,181.8667717,0.867980098,181.2156304,3.602913043,0.866847924,2.99251087,73.07146454,0.860054348,6.199629022,0.846014576,41.38902478,0.937273652,48.85265717,4.842036739,0.935235543,5.784127174,41.8668913,0.768795261,AT-Neu,TRUE,Spring,-2.3
2005,644.24215,0.966712011,109.633,1,111.755,186.132,1,136.748,6.63851087,1,5.819663043,362.5548902,0.998867754,183.600337,0.99501837,185.3978152,3.90823913,1,3.473152174,73.24768411,0.999547101,5.946885109,0.999094391,46.29082391,0.991168576,55.54985543,5.800363913,0.99139488,6.951156522,44.00044565,0.801630326,AT-Neu,TRUE,Spring,-2.276666667
2006,621.256286,0.800271837,156.819,1,163.708,240.129,1,205.273,5.691836957,1,5.049619565,341.2917366,0.997961957,173.0856087,1,173.1852391,3.01698913,1,2.869923913,69.6822962,1,4.288830652,1,42.77166304,0.850543489,55.89673261,10.16546717,0.843750109,13.46213522,43.99357609,1,AT-Neu,TRUE,Spring,-0.75
2007,822.75357,0.909646696,121.804,1,151.432,190.001,1,196.464,8.609978261,1,7.661934783,373.9659086,1,192.7674891,0.992980185,189.7524891,4.853195652,1,3.830608696,84.45057228,1,6.784126739,1,57.60955435,0.969202989,68.5907087,6.753928913,0.963994783,8.100416087,31.54927174,1,AT-Neu,TRUE,Spring,-3.006666667
2008,772.7733,0.975769946,118.417,1,175.071,141.106,1,222.521,6.677173913,1,5.561119565,344.4366708,0.998641304,175.6345543,0.997735587,171.0319022,3.688054348,1,2.846869565,82.18403346,1,3.053961848,1,43.79558043,0.996829783,68.17240109,6.721097391,0.995471043,11.1127388,24.30256522,1,AT-Neu,TRUE,Spring,0.443333333
2009,877.696328,0.970108598,97.494,1,140.684,143.411,1,196.81,7.798130435,1,6.747956522,374.7842496,0.999320652,192.4207826,0.999547065,188.1507283,4.151358696,1,3.419576087,78.70917867,0.999773551,3.45232663,1,42.19343837,0.995697533,59.69706804,3.646682717,0.99207438,5.234303261,27.41186957,1,AT-Neu,TRUE,Spring,0.176666667
2010,703.91696,0.985054239,97.694,1,161.222,112.592,1,212.102,6.258195652,1,5.188652174,329.4356883,0.999320652,173.9105435,1,171.5656739,3.240923913,1,2.667413043,76.22684556,1,3.196377826,1,40.94061087,0.997282848,54.54784022,14.16237391,0.996603348,18.52456848,31.79607609,1,AT-Neu,TRUE,Spring,-2.183333333
2011,955.72243,0.973958261,95.307,0.999773565,142.109,133.714,0.99986204,172.153,8.069293478,1,7.545391304,385.5362387,1,200.6401739,1,193.0883696,4.559717391,1,3.847119565,80.30873087,0.999547101,3.528573478,1,55.06692609,0.997961957,66.20326739,8.900663152,0.995924174,10.68416696,24.70813043,1,AT-Neu,TRUE,Spring,-2.493333333
