"SITE_ID","SITE_NAME","SOURCE","FLUXNET-CH4","LOCATION_LAT","LOCATION_LONG","LOCATION_ELEV","IGBP","MAT","MAP","Climate","Climate Source","Notes1","Keep","START","END","Duration","SPRING","SUMMER","FALL","Notes2","min_dist_m","CRU_Aridity_P_PET","CRU_P_Annual_Mean_Total_mm","CRU_PET_Annual_Mean_Total_mm"
"AT-Neu","Neustift","FLUXNET2015","CC-BY-4.0",47.11667,11.3175,970,"GRA",6.5,852,"Dfc","Rubel",NA,"Y",2002,2012,11,NA,NA,NA,NA,15678.72823,2.703466918,1503.956693,556.3066752
"BE-Bra","Brasschaat","ICOS-2020",NA,51.30761,4.51984,16,"MF",9.8,750,"Cfb","Rubel",NA,"Y",1996,2020,25,"c(1996:1998, 2003)","c(1996:1998, 2003)","c(1996:1998, 2003)","2003 is flat but other years look OK but 1996-1998 are missing and precip is missing from 2020",17243.09594,1.13217184,823.1266814,727.0333461
"BE-Vie","Vielsalm","ICOS-2020",NA,50.30493,5.99812,493,"MF",7.8,1062,"Cfb","ICOS",NA,"Y",1996,2020,25,"c(1996, 2009)","c(1996)",NA,"Mostly good, does have precip for 2020",18659.7483,1.477707963,1048.906684,709.8200122
"CA-Cbo","Ontario - Mixed Deciduous, Borden Forest Site","OneFlux",NA,44.3167,-79.9333,120,"DBF",6.66,876.34,"Dfb","AmeriFlux",NA,"Y",1994,2018,25,"c(1994, 1995, 1996, 1997, 2001, 2004, 2005)","c(1994:1997, 2001, 2004)","c(1994:1997, 2001, 2004)","2001 gap filling for spring is way way too high",16368.1788,1.23392574,884.7700148,717.0366789
"CA-Gro","Ontario - Groundhog River, Boreal Mixedwood Forest","FLUXNET2015",NA,48.2167,-82.1556,340,"MF",1.3,831,"Dfb","AmeriFlux",NA,"Y",2003,2014,12,"c(2003)","c(2003, 2014)","c(2014)",NA,7911.86138,1.471994869,886.0133509,601.9133419
"CA-Man","Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area)","FLUXNET2015",NA,55.87962,-98.48081,259,"ENF",-3.2,520,"Dfc","AmeriFlux",NA,"Y",1994,2008,15,"c(1994, 2004:2006)","c(2004:2006)","c(2004:2005)",NA,20388.31372,0.95170637,499.8266756,525.1900075
"CA-Oas","Saskatchewan - Western Boreal, Mature Aspen","FLUXNET2015",NA,53.62889,-106.19779,530,"DBF",0.34,428.53,"Dfc","AmeriFlux",NA,"Y",1996,2010,15,"c(1996)",NA,NA,NA,13898.70966,0.733886942,455.7266735,620.9766758
"CA-Obs","Saskatchewan - Western Boreal, Mature Black Spruce","FLUXNET2015",NA,53.98717,-105.11779,628.94,"ENF",0.79,405.6,"Dfc","AmeriFlux",NA,"Y",1997,2010,14,"1997:1999","1997:1998","1997:1998",NA,27760.21284,0.726392894,457.8333403,630.2833414
"CA-TP3","Ontario - Turkey Point 1974 Plantation White Pine","FLUXNET2015",NA,42.70681111,-80.34831389,184,"ENF",8,1036,"Dfb","AmeriFlux",NA,"Y",2002,2014,13,"c(2002)","c(2002)","c(2002)",NA,9356.853863,1.334520745,1020.25002,764.5066772
"CA-TP4","Ontario - Turkey Point 1939 Plantation White Pine","OneFlux",NA,42.710161,-80.357376,184,"ENF",8,1036,"Dfb","AmeriFlux",NA,"Y",2002,2017,16,"c(2002)",NA,NA,"2002 is too low and has low NEE QC in spring",9825.673816,1.334520745,1020.25002,764.5066772
