SITE_ID,SITE_NAME,SOURCE,FLUXNET-CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP,Climate,Climate Source,Notes1,Keep,START,END,Duration,SPRING,SUMMER,FALL,Notes2,min_dist_m,CRU_Aridity_P_PET,CRU_P_Annual_Mean_Total_mm,CRU_PET_Annual_Mean_Total_mm
AT-Neu,Neustift,FLUXNET2015,CC-BY-4.0,47.11667,11.3175,970,GRA,6.5,852,Dfc,Rubel,NA,Y,2002,2012,11,NA,NA,NA,NA,15678.72823,2.703466918,1503.956693,556.3066752
BE-Bra,Brasschaat,ICOS-2020,NA,51.30761,4.51984,16,MF,9.8,750,Cfb,Rubel,NA,Y,1996,2020,25,"c(1996:1998, 2003)","c(1996:1998, 2003)","c(1996:1998, 2003)",2003 is flat but other years look OK but 1996-1998 are missing and precip is missing from 2020,17243.09594,1.13217184,823.1266814,727.0333461
BE-Dor,Dorinne,ICOS-2020,NA,50.31135,4.968591,247,GRA,10,847,Cfb,Rubel,Gourlez de la Motte et al 2016,Y,2011,2020,10,c(2019),NA,NA,"All good except some missing data in spring 2019, does have precip for 2020",16964.4041,1.248955801,902.0500156,722.2433448
BE-Vie,Vielsalm,ICOS-2020,NA,50.30493,5.99812,493,MF,7.8,1062,Cfb,ICOS,NA,Y,1996,2020,25,"c(1996, 2009)",c(1996),NA,"Mostly good, does have precip for 2020",18659.7483,1.477707963,1048.906684,709.8200122
CA-Ca1,British Columbia - 1949 Douglas-fir stand,OneFlux,NA,49.8673,-125.3336,300,ENF,9.93,1369,Cfb,AmeriFlux,NA,Y,1996,2010,15,c(1996:2003),c(1996:2003),c(1996:2003),using 2004 to 2010 because there's a severe obvious change in GPP after 2003,14356.64149,3.287490883,1997.600034,607.6366763
CA-Ca2,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),OneFlux,NA,49.8705,-125.2909,300,ENF,9.86,1474,Cfb,AmeriFlux,NA,Y,1999,2010,12,"c(1999, 2000, 2002, 2003, 2007, 2008)","c(1999, 2000, 2002, 2003, 2007, 2008)","c(1999, 2000, 2002, 2007)",huge year to year variations in GPP due to regrowing trees and 2002 and 2007 GPP are flat,13716.65936,3.287490883,1997.600034,607.6366763
CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,OneFlux,NA,49.5346,-124.9004,120,ENF,9.94,1676,Cfb,AmeriFlux,NA,Y,2000,2016,17,c(2001),c(2001),NA,increasing GPP year over year as regrowing,26285.92623,2.720737747,1909.840034,701.9566791
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",OneFlux,NA,44.3167,-79.9333,120,DBF,6.66,876.34,Dfb,AmeriFlux,NA,Y,1994,2018,25,"c(1994, 1995, 1996, 1997, 2001, 2004, 2005)","c(1994:1997, 2001, 2004)","c(1994:1997, 2001, 2004)",2001 gap filling for spring is way way too high,16368.1788,1.23392574,884.7700148,717.0366789
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",FLUXNET2015,NA,48.2167,-82.1556,340,MF,1.3,831,Dfb,AmeriFlux,NA,Y,2003,2014,12,c(2003),"c(2003, 2014)",c(2014),NA,7911.86138,1.471994869,886.0133509,601.9133419
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),FLUXNET2015,NA,55.87962,-98.48081,259,ENF,-3.2,520,Dfc,AmeriFlux,NA,Y,1994,2008,15,"c(1994, 2004:2006)",c(2004:2006),c(2004:2005),NA,20388.31372,0.95170637,499.8266756,525.1900075
