SITE_ID,SITE_NAME,SOURCE,FLUXNET-CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP,Climate,Climate Source,Notes1,Keep,START,END,Duration,SPRING,SUMMER,FALL,Notes2
AT-Neu,Neustift,FLUXNET2015,CC-BY-4.0,47.11667,11.3175,970,GRA,6.5,852,Dfc,Rubel,,Y,2002,2012,11,NA,NA,NA,
BE-Bra,Brasschaat,ICOS-2020,,51.30761,4.51984,16,MF,9.8,750,Cfb,Rubel,,Y,1996,2020,25,"c(1996:1998, 2003)","c(1996:1998, 2003)","c(1996:1998, 2003)",2003 is flat but other years look OK but 1996-1998 are missing and precip is missing from 2020
BE-Dor,Dorinne,ICOS-2020,,50.31135,4.968591,247,GRA,10,847,Cfb,Rubel,Gourlez de la Motte et al 2016,Y,2011,2020,10,c(2019),NA,NA,"All good except some missing data in spring 2019, does have precip for 2020"
BE-Vie,Vielsalm,ICOS-2020,,50.30493,5.99812,493,MF,7.8,1062,Cfb,ICOS,,Y,1996,2020,25,"c(1996, 2009)",c(1996),NA,"Mostly good, does have precip for 2020"
CA-Ca1,British Columbia - 1949 Douglas-fir stand,OneFlux,,49.8673,-125.3336,300,ENF,9.93,1369,Cfb,AmeriFlux,,Y,1996,2010,15,c(1996:2003),c(1996:2003),c(1996:2003),using 2004 to 2010 because there's a severe obvious change in GPP after 2003
CA-Ca2,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),OneFlux,,49.8705,-125.2909,300,ENF,9.86,1474,Cfb,AmeriFlux,,Y,1999,2010,12,"c(1999, 2000, 2002, 2003, 2007, 2008)","c(1999, 2000, 2002, 2003, 2007, 2008)","c(1999, 2000, 2002, 2007)",huge year to year variations in GPP due to regrowing trees and 2002 and 2007 GPP are flat
CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,OneFlux,,49.5346,-124.9004,120,ENF,9.94,1676,Cfb,AmeriFlux,,Y,2000,2016,17,c(2001),c(2001),,increasing GPP year over year as regrowing
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",OneFlux,,44.3167,-79.9333,120,DBF,6.66,876.34,Dfb,AmeriFlux,,Y,1994,2018,25,"c(1994, 1995, 1996, 1997, 2001, 2004, 2005)","c(1994:1997, 2001, 2004)","c(1994:1997, 2001, 2004)",2001 gap filling for spring is way way too high
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",FLUXNET2015,,48.2167,-82.1556,340,MF,1.3,831,Dfb,AmeriFlux,,Y,2003,2014,12,c(2003),"c(2003, 2014)",c(2014),
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),FLUXNET2015,,55.87962,-98.48081,259,ENF,-3.2,520,Dfc,AmeriFlux,,Y,1994,2008,15,"c(1994, 2004:2006)",c(2004:2006),c(2004:2005),
CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen",FLUXNET2015,,53.62889,-106.19779,530,DBF,0.34,428.53,Dfc,AmeriFlux,,Y,1996,2010,15,c(1996),NA,NA,
CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",FLUXNET2015,,53.98717,-105.11779,628.94,ENF,0.79,405.6,Dfc,AmeriFlux,,Y,1997,2010,14,1997:1999,1997:1998,1997:1998,
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",FLUXNET2015,,49.6925,-74.34206,382,ENF,-0.36,962.32,Dfc,AmeriFlux,,Y,2003,2010,8,c(2003),c(2003),NA,
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,FLUXNET2015,,42.66093611,-80.55951944,265,ENF,8,1036,Dfb,AmeriFlux,,Y,2002,2014,13,"c(2002, 2014)","c(2002, 2014)","c(2002, 2006)",
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,FLUXNET2015,,42.70681111,-80.34831389,184,ENF,8,1036,Dfb,AmeriFlux,,Y,2002,2014,13,c(2002),c(2002),c(2002),
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,OneFlux,,42.710161,-80.357376,184,ENF,8,1036,Dfb,AmeriFlux,,Y,2002,2017,16,c(2002),NA,NA,2002 is too low and has low NEE QC in spring
CA-WP1,"Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen",OneFlux,,54.9538,-112.467,540,WET,1.1,461.07,Dfc,AmeriFlux,,Y,2003,2009,7,c(2003),c(2003),c(2009),2003 spring and summer and 2009 fall gap filling are bad
CH-Aws,Alp Weissenstein,ICOS-2020,,46.583306,9.790417,1988,GRA,4,918,Dfc,Rubel (shifted),"2014-2020 really, https://www.swissfluxnet.ethz.ch/index.php/sites/ch-aws-alp-weissenstein/site-info-ch-aws/, http://www.europe-fluxdata.eu/home/site-details?id=CH-Aws",Y,2006,2020,15,c(2006:2014),c(2012),"c(2006:2008, 2012)",Run inconsistently in spring from 2006 to 2014 and precip missing for 2020
CH-Cha,Chamau,ICOS-2020,CC-BY-4.0,47.21022,8.41044,393,GRA,9.5,1136,Cfb,Rubel,,Y,2005,2020,16,"c(2005, 2009)","c(2005, 2009)",NA,couple of missing years and no precip data for 2020
CH-Dav,Davos,ICOS-2020,CC-BY-4.0,46.81533,9.85591,1639,ENF,2.8,1062,Dfc,Rubel (shifted),,Y,1997,2020,24,c(2011),c(2011),c(2011),Looks like 2011 is all fill but missing label in NEE QC also precip is missing for 2020
CH-Fru,Früebüel,ICOS-2020,,47.11583,8.53778,982,GRA,7.2,1651,Cfb,Rubel,,Y,2005,2020,16,c(2005),c(2005),"c(2006, 2009)",2005 has issues for spring and summer and couple of missing years in fall and precip is missing for 2020
CH-Lae,Laegern,ICOS-2020,,47.47833,8.36439,689,MF,8.3,1100,Cfb,Rubel,,Y,2004,2020,17,c(2004),NA,NA,some gaps in spring 2005 otherwise precip missing for 2020 as well
CH-Oe1,Oensingen grassland,FLUXNET2015,,47.28583,7.73194,450,GRA,9,1100,Cfb,Rubel,,Y,2002,2008,7,c(2008),NA,NA,
CZ-BK1,Bily Kriz forest,ICOS-2020,,49.50208,18.53688,875,ENF,6.7,1316,Dfb,Rubel,,Y,2004,2020,17,NA,NA,NA,few low NEE QC but otherwise OK precip missing for 2020
CZ-BK2,Bily Kriz grassland,FLUXNET2015,,49.49443,18.54285,855,GRA,6.7,1316,Dfb,Rubel,,Y,2004,2012,9,2004:2006,2004:2006,2004:2006,
CZ-Lnz,Lanzhot,ICOS-2020,,48.68155,16.946331,150,DBF,9.8,518,Cfb,Rubel,2015-2020,Y,2015,2020,6,NA,NA,NA,precip missing in 2020 but otherwise good
