"year","GPP_NT_VUT_REF_sum","NEE_VUT_REF_QC_mean","P_F_sum","P_F_QC_mean","P_ERA_sum","TA_F_mean","TA_F_QC_mean","TA_ERA_mean","PPFD_IN_mean","PPFD_IN_QC_mean","SW_IN_F_mean","SW_IN_F_QC_mean","SW_IN_ERA_mean","VPD_F_mean","VPD_F_QC_mean","VPD_ERA_mean","NETRAD_mean","NETRAD_QC_mean","G_F_MDS_mean","G_F_MDS_QC_mean","LE_F_MDS_mean","LE_F_MDS_QC_mean","LE_CORR_mean","H_F_MDS_mean","H_F_MDS_QC_mean","H_CORR_mean","SWC_F_MDS_1_mean","SWC_F_MDS_1_QC_mean","SITE_ID","keep_year"
2002,1011.31907,0.98301652173913,368.222,1,325.878,16.9168804347826,0.998414956521739,16.1341739130435,405.506039876272,0.998867753623261,217.298630434783,1,200.634956521739,6.29595652173913,0.998414956521739,4.90398913043478,99.8846538274674,0.817934782608489,2.92926163043478,0.725996369565217,88.2496847826087,0.996150347826087,77.7399663043478,8.51534717391304,0.992753684782609,7.25764163043478,NA,NA,"AT-Neu",TRUE
2003,1102.3919,0.899230043478261,348.266,1,257.608,17.8983043478261,1,18.4133695652174,436.733198369272,0.999320652174,226.643532608696,1,234.378913043478,8.11201086956522,1,7.09911956521739,113.263648246854,0.998188405797,7.29009836956522,0.856204793478261,81.6969543478261,0.961503804347826,104.343847826087,3.35906510869565,0.959012684782609,4.71446826086957,20.6858586956522,1,"AT-Neu",TRUE
2004,979.05915,0.983469065217391,298.182,1,289.417,15.0855543478261,1,15.4502717391304,397.82229393088,1,201.178445652174,0.993206565217391,212.223934782609,5.43817391304348,1,5.41292391304348,106.30118606439,0.999547101449337,7.22148913043478,0.860054543478261,73.4815304347826,0.998641391304348,83.9742804347826,8.34687967391304,0.997735456521739,10.0151844565217,33.1786847826087,1,"AT-Neu",TRUE
2005,857.22317,0.881340489130435,364.81,1,297.285,14.649097826087,0.913043315217391,15.2424891304348,384.526221715891,0.90058876811575,197.747380434783,0.90896722826087,200.108326086957,4.87921739130435,0.913043315217391,5.0218152173913,101.713137581878,0.900815217391196,7.28422684782609,0.911684706521739,62.3094706521739,0.941575880434783,80.1259576086957,13.8395155434783,0.940217413043478,16.9308293478261,32.2334456521739,0.913043315217391,"AT-Neu",TRUE
2006,1003.3699,0.960597945652174,214.208,1,257.452,16.6383804347826,1,15.598152173913,430.098433853511,0.999547101449337,217.578913043478,1,216.535054347826,6.16544565217391,1,5.31931521739131,116.111822714953,0.999094202898576,6.48318086956522,1,81.8298336956522,0.997735652173913,98.4473760869565,9.77048434782609,0.996603413043478,11.7555373913043,28.1117173913043,1,"AT-Neu",TRUE
2007,964.70119,0.965579847826087,294.905,1,311.488,15.6125326086957,1,15.9584891304348,407.204328961098,0.998867753623239,208.761293478261,1,215.1935,5.57382608695652,1,5.1601847826087,112.433581183097,0.998867753623337,6.61826130434783,1,68.3269652173913,0.993206489130435,95.160575,8.19872191304348,0.992526847826087,11.3874535869565,31.821652173913,1,"AT-Neu",TRUE
2008,1258.9153,0.970787913043478,259.695,1,329.525,15.459097826087,1,16.0434891304348,417.634497816141,1,207.33777173913,0.995924043478261,203.903413043478,4.52325,1,4.67204347826087,113.51991477875,1,5.2699297826087,1,72.9501815217391,0.99071577173913,93.439372826087,11.4230010869565,0.99048927173913,14.7876282608696,22.1412282608696,1,"AT-Neu",TRUE
2009,1355.8282,0.960144695652174,315.899,0.971240945652174,301.005,15.3394673913043,1,15.9988586956522,397.898985607033,0.963088768115793,206.153956521739,0.975090402173913,202.540391304348,4.72622826086956,0.97418472826087,4.92579347826087,107.341650032696,0.963088768115793,6.8582577173913,0.980525358695652,74.6415141304348,0.975996597826087,89.5352804347826,10.1635115217391,0.976675902173913,12.1644161956522,23.641347826087,0.97418472826087,"AT-Neu",TRUE
2010,1098.5515,0.988450956521739,281.105,1,257.061,15.5133804347826,1,16.0829782608696,392.626367753739,1,202.932054347826,1,196.232695652174,4.95308695652174,1,5.46330434782609,104.505265957254,0.999773550724554,6.60178391304348,1,65.6540880434783,0.99705647826087,84.654497826087,10.3509933695652,0.996377108695652,13.3851339130435,29.3402065217391,1,"AT-Neu",TRUE
2011,1164.9652,0.962182902173913,214.384,0.975769793478261,334.972,15.0577065217391,1,15.8468152173913,379.994393115913,1,198.184467391304,1,200.425347826087,4.99354347826087,1,5.09310869565217,106.102660697193,0.96671195652162,6.43492315217391,0.99818852173913,66.6958380434783,0.991394804347826,89.6522586956522,7.17184554347826,0.991621239130435,9.66647391304348,22.7000434782609,0.998414956521739,"AT-Neu",TRUE
2012,1028.96105,0.96875,255.733,1,357.648,16.0827391304348,1,16.9578804347826,409.866164881478,1,214.522619565217,1,209.429184782609,5.03705434782609,1,5.60716304347826,115.89746286237,1,6.54237402173913,1,63.4864510869565,0.976223010869565,95.2603663043478,9.25024489130435,0.989130402173913,14.2840788043478,28.6631195652174,1,"AT-Neu",TRUE
1996,NA,0,197.456,0.6630435,266.214,16.2410108695652,0.674818870652174,16.4549347826087,NA,0,192.484565217391,0.66961054673913,197.349173913043,5.70386956521739,0,5.70386956521739,NA,NA,NA,NA,21.5469058119565,0.674818870652174,37.5365549304348,15.3020364130435,0.674818870652174,26.5357489130435,NA,NA,"BE-Bra",FALSE
1997,NA,0,261.194,1,230.255,17.979597826087,1,17.833652173913,NA,0,198.624673913043,1,193.685086956522,4.27832608695652,1,5.92591304347826,131.520758747775,0.996603260869565,4.0904047826087,1,42.7280239130435,0.752717326086957,76.3461739130435,34.4694532608696,0.992980184782609,61.1170467391304,NA,NA,"BE-Bra",FALSE
1998,NA,0,181.002,1,263.546,16.7416413043478,1,16.3470543478261,NA,0,178.528619565217,1,178.989652173913,4.41715217391304,1,4.84275,117.226237280296,0.999320652173913,2.53756739130435,1,67.2250836956522,0.903759086956522,88.722847826087,17.2700205434783,0.906023565217391,25.0233413043478,NA,NA,"BE-Bra",FALSE
1999,722.93854,0.899683,181.002,1,192.81,16.7810760869565,0.999320695652174,17.2116847826087,426.139335537914,0.911911231884058,201.800782608696,0.918251652173913,200.399739130435,5.08557608695652,0.999320695652174,5.95539130434783,125.717363357795,0.86526268115942,2.28120880434783,0.917798782608696,51.3482065217391,0.959239141304348,72.1087782608696,35.7559956521739,0.985054293478261,49.8568282608696,NA,NA,"BE-Bra",TRUE
2000,676.98886,0.98075197826087,238.286,1,263.121,16.3472826086957,1,16.3437717391304,NA,0.429574275362319,189.946152173913,1,187.493586956522,4.22458695652174,0.980978130434783,4.79071739130435,120.70788134058,1,3.83470097826087,1,42.5877152173913,0.994791739130435,69.4828597826087,30.7587623913043,0.997509217391304,47.3941489130435,NA,NA,"BE-Bra",TRUE
2001,628.91538,0.986639282608696,263.602,1,233.424,17.4582173913043,1,17.5743152173913,NA,0.562952898550725,199.623173913044,1,194.990467391304,5.11670652173913,1,6.40594565217391,124.316101254329,0.973052536231884,3.1002952173913,1,40.8444956521739,0.999547130434783,69.7777760869565,30.6156619565217,0.998867891304348,52.0257086956522,NA,NA,"BE-Bra",TRUE
2002,555.45087,0.984375130434783,406.47,1,258.939,16.2645,1,17.3870434782609,347.174340804274,0.997961956521739,180.942945652174,1,181.061641304348,3.44675,1,5.16291304347826,113.587185914855,1,NA,NA,31.4280576086957,0.987771847826087,53.0911010869565,25.1148043478261,0.997056347826087,42.2785304347826,NA,NA,"BE-Bra",TRUE
