SITE_ID,SITE_NAME,FLUXNET2015,FLUXNET.CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP,Climate,Climate Source
AT-Neu,Neustift,CC-BY-4.0,CC-BY-4.0,47.11667,11.3175,970,GRA,6.5,852,Dfc,Rubel
AU-DaP,Daly River Savanna,CC-BY-4.0,,-14.0633,131.3181,71,GRA,27.25,983.78,Aw,Rubel
AU-DaS,Daly River Cleared,CC-BY-4.0,,-14.1593,131.3881,77,SAV,27.22,975.82,Aw,Rubel
AU-Dry,Dry River,CC-BY-4.0,,-15.2588,132.3706,177,SAV,NA,NA,Aw,Rubel
AU-How,Howard Springs,CC-BY-4.0,,-12.4943,131.1523,40,WSA,27.01,1449.35,Aw,Rubel
AU-Stp,Sturt Plains,CC-BY-4.0,,-17.1507,133.3502,228,GRA,NA,NA,Bsh,Rubel
AU-Tum,Tumbarumba,CC-BY-4.0,,-35.6566,148.1517,1200,EBF,10.72,1159.01,Cfb,Rubel
BE-Bra,Brasschaat,CC-BY-4.0,,51.30761,4.51984,16,MF,9.8,750,Cfb,Rubel
BE-Vie,Vielsalm,CC-BY-4.0,,50.30493,5.99812,493,MF,7.8,1062,Cfb,Rubel
BR-Sa1,Santarem-Km67-Primary Forest,CC-BY-4.0,,-2.85667,-54.95889,88,EBF,26.13,2074.79,Am,AmeriFlux
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",CC-BY-4.0,,48.2167,-82.1556,340,MF,1.3,831,Dfb,AmeriFlux
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),CC-BY-4.0,,55.87962,-98.48081,259,ENF,-3.2,520,Dfc,AmeriFlux
CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen",CC-BY-4.0,,53.62889,-106.19779,530,DBF,0.34,428.53,Dfc,AmeriFlux
CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",CC-BY-4.0,,53.98717,-105.11779,628.94,ENF,0.79,405.6,Dfc,AmeriFlux
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",CC-BY-4.0,,49.6925,-74.34206,382,ENF,-0.36,962.32,Dfc,AmeriFlux
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,CC-BY-4.0,,42.66093611,-80.55951944,265,ENF,8,1036,Dfb,AmeriFlux
