"SITE_ID","SITE_LON","SITE_LAT","TC_LON","TC_LAT","TC_LON_IND","TC_LAT_IND","PDSI_Spring_1991_mean","PDSI_Summer_1991_mean","PDSI_Fall_1991_mean","PDSI_Spring_1992_mean","PDSI_Summer_1992_mean","PDSI_Fall_1992_mean","PDSI_Spring_1993_mean","PDSI_Summer_1993_mean","PDSI_Fall_1993_mean","PDSI_Spring_1994_mean","PDSI_Summer_1994_mean","PDSI_Fall_1994_mean","PDSI_Spring_1995_mean","PDSI_Summer_1995_mean","PDSI_Fall_1995_mean","PDSI_Spring_1996_mean","PDSI_Summer_1996_mean","PDSI_Fall_1996_mean","PDSI_Spring_1997_mean","PDSI_Summer_1997_mean","PDSI_Fall_1997_mean","PDSI_Spring_1998_mean","PDSI_Summer_1998_mean","PDSI_Fall_1998_mean","PDSI_Spring_1999_mean","PDSI_Summer_1999_mean","PDSI_Fall_1999_mean","PDSI_Spring_2000_mean","PDSI_Summer_2000_mean","PDSI_Fall_2000_mean","PDSI_Spring_2001_mean","PDSI_Summer_2001_mean","PDSI_Fall_2001_mean","PDSI_Spring_2002_mean","PDSI_Summer_2002_mean","PDSI_Fall_2002_mean","PDSI_Spring_2003_mean","PDSI_Summer_2003_mean","PDSI_Fall_2003_mean","PDSI_Spring_2004_mean","PDSI_Summer_2004_mean","PDSI_Fall_2004_mean","PDSI_Spring_2005_mean","PDSI_Summer_2005_mean","PDSI_Fall_2005_mean","PDSI_Spring_2006_mean","PDSI_Summer_2006_mean","PDSI_Fall_2006_mean","PDSI_Spring_2007_mean","PDSI_Summer_2007_mean","PDSI_Fall_2007_mean","PDSI_Spring_2008_mean","PDSI_Summer_2008_mean","PDSI_Fall_2008_mean","PDSI_Spring_2009_mean","PDSI_Summer_2009_mean","PDSI_Fall_2009_mean","PDSI_Spring_2010_mean","PDSI_Summer_2010_mean","PDSI_Fall_2010_mean","PDSI_Spring_2011_mean","PDSI_Summer_2011_mean","PDSI_Fall_2011_mean","PDSI_Spring_2012_mean","PDSI_Summer_2012_mean","PDSI_Fall_2012_mean","PDSI_Spring_2013_mean","PDSI_Summer_2013_mean","PDSI_Fall_2013_mean","PDSI_Spring_2014_mean","PDSI_Summer_2014_mean","PDSI_Fall_2014_mean","PDSI_Spring_2015_mean","PDSI_Summer_2015_mean","PDSI_Fall_2015_mean","PDSI_Spring_2016_mean","PDSI_Summer_2016_mean","PDSI_Fall_2016_mean","PDSI_Spring_2017_mean","PDSI_Summer_2017_mean","PDSI_Fall_2017_mean","PDSI_Spring_2018_mean","PDSI_Summer_2018_mean","PDSI_Fall_2018_mean","PDSI_Spring_2019_mean","PDSI_Summer_2019_mean","PDSI_Fall_2019_mean","PDSI_Spring_2020_mean","PDSI_Summer_2020_mean","PDSI_Fall_2020_mean","PDSI_Spring_2021_mean","PDSI_Summer_2021_mean","PDSI_Fall_2021_mean"
"AT-Neu",11.3175,47.11667,11.3125,47.1041666666667,4592,1030,-2.67,-1.11,-1.11,0.466666666666667,-2.78333333333333,-2.78333333333333,0.0933333333333333,-1.18333333333333,-1.18333333333333,-1.3,-2.42333333333333,-2.42333333333333,0.64,2.21666666666667,2.21666666666667,-2.17,-0.596666666666667,-0.596666666666667,-0.113333333333333,-1.44333333333333,-1.44333333333333,-2.25666666666667,-2.10333333333333,-2.10333333333333,2.95333333333333,3.57666666666667,3.57666666666667,2.93333333333333,1.52333333333333,1.52333333333333,2.48333333333333,1.94333333333333,1.94333333333333,0.0833333333333333,-0.42,-0.42,-2.18333333333333,-4.58,-4.58,-2.3,-2.33,-2.33,-2.27666666666667,-2.62666666666667,-2.62666666666667,-0.75,-1.55,-1.55,-3.00666666666667,-2.64,-2.64,0.443333333333333,-0.96,-0.96,0.176666666666667,-1.80333333333333,-1.80333333333333,-2.18333333333333,-0.373333333333333,-0.373333333333333,-2.49333333333333,-2.16666666666667,-2.16666666666667,-1.94,-2.14,-2.14,1.38333333333333,-0.53,-0.53,-1.90333333333333,-0.506666666666667,-0.506666666666667,-0.306666666666667,-0.583333333333333,-0.583333333333333,0.666666666666667,1.83333333333333,1.83333333333333,-1.46666666666667,-1.53333333333333,-1.53333333333333,0.266666666666667,-3.76666666666667,-3.76666666666667,-2.53333333333333,-3.76666666666667,-3.76666666666667,-1.96,-1.99666666666667,-1.99666666666667,-0.45,0.706666666666667,0.706666666666667
"BE-Bra",4.51984,51.30761,4.52083333333334,51.3125,4429,929,-4.5,-3.12333333333333,-3.12333333333333,-3.09333333333333,-2.59333333333333,-2.59333333333333,-2.36333333333333,-2.49666666666667,-2.49666666666667,2.83666666666667,1.54333333333333,1.54333333333333,2.79333333333333,-1.06666666666667,-1.06666666666667,-4.23666666666667,-4.93,-4.93,-3.86333333333333,-2.81333333333333,-2.81333333333333,-2.15666666666667,-0.833333333333333,-0.833333333333333,3.79333333333333,2.22666666666667,2.22666666666667,1.36666666666667,1.39,1.39,3.37666666666667,1.4,1.4,2.17,1.47,1.47,-1.05,-3.25666666666667,-3.25666666666667,-2.55,-2.28,-2.28,-1.50333333333333,-0.266666666666667,-0.266666666666667,0.473333333333333,-0.12,-0.12,-0.706666666666667,0.44,0.44,-0.123333333333333,-0.623333333333333,-0.623333333333333,-1.11,-2.14666666666667,-2.14666666666667,-1.83666666666667,-2.79333333333333,-2.79333333333333,-1.72666666666667,-3.03333333333333,-3.03333333333333,-2.46,0.56,0.56,0.203333333333333,-1.07333333333333,-1.07333333333333,-2.01666666666667,-0.81,-0.81,-1.16666666666667,-2.54666666666667,-2.54666666666667,1.23333333333333,1.73333333333333,1.73333333333333,-3.63333333333333,-4.43333333333333,-4.43333333333333,0.433333333333333,-1.96666666666667,-1.96666666666667,-4.4,-5.03333333333333,-5.03333333333333,-3.29333333333333,-4.60333333333333,-4.60333333333333,-1.87333333333333,1.28666666666667,1.28666666666667
"BE-Dor",4.968591,50.31135,4.97916666666666,50.3125,4440,953,-3.9,-3.57666666666667,-3.57666666666667,-3.68333333333333,-3,-3,-2.27,-2.92,-2.92,2.23,-0.526666666666667,-0.526666666666667,2.19,-1.12333333333333,-1.12333333333333,-4.3,-5.15,-5.15,-3.88333333333333,-2.24,-2.24,-2.11,-1.70666666666667,-1.70666666666667,2.32333333333333,-0.353333333333333,-0.353333333333333,-0.166666666666667,0.896666666666667,0.896666666666667,3.68666666666667,1.45666666666667,1.45666666666667,1.86666666666667,0.11,0.11,-1.03333333333333,-3.14666666666667,-3.14666666666667,-3.46666666666667,-3.17,-3.17,-1.83666666666667,-1.70666666666667,-1.70666666666667,-0.41,0.293333333333333,0.293333333333333,-1.12333333333333,0.576666666666667,0.576666666666667,0.363333333333333,-0.316666666666667,-0.316666666666667,-0.976666666666667,-1.96,-1.96,-2.07666666666667,-2.90333333333333,-2.90333333333333,-1.98666666666667,-3.82333333333333,-3.82333333333333,-3.38666666666667,-1.30333333333333,-1.30333333333333,0.463333333333333,-0.22,-0.22,-2.47,-1.17666666666667,-1.17666666666667,-1.15666666666667,-3.00666666666667,-3.00666666666667,-0.166666666666667,2.1,2.1,-4.2,-5.13333333333333,-5.13333333333333,-1.36666666666667,-2.73333333333333,-2.73333333333333,-4.26666666666667,-5.43333333333333,-5.43333333333333,-3.10333333333333,-5.25666666666667,-5.25666666666667,-2.05666666666667,2.97,2.97
"BE-Vie",5.99812,50.30493,5.97916666666666,50.3125,4464,953,-3.16333333333333,-3.48333333333333,-3.48333333333333,-3.85666666666667,-3.32,-3.32,-2.59333333333333,-3.06333333333333,-3.06333333333333,2.07333333333333,-0.81,-0.81,2.36,-0.736666666666667,-0.736666666666667,-3.95333333333333,-4.69666666666667,-4.69666666666667,-3.67666666666667,-1.77,-1.77,-1.91666666666667,-1.41,-1.41,2.03333333333333,-0.356666666666667,-0.356666666666667,0.903333333333333,0.853333333333333,0.853333333333333,3.58333333333333,1.53666666666667,1.53666666666667,1.75666666666667,0.903333333333333,0.903333333333333,-1.00333333333333,-2.69333333333333,-2.69333333333333,-3.40666666666667,-2.8,-2.8,-1.91333333333333,-2.09666666666667,-2.09666666666667,-1.54,-1.73666666666667,-1.73666666666667,-0.576666666666667,0.793333333333333,0.793333333333333,0.683333333333333,-0.0133333333333333,-0.0133333333333333,-1.34666666666667,-1.90333333333333,-1.90333333333333,-1.91666666666667,-2.32666666666667,-2.32666666666667,-2.63666666666667,-3.44666666666667,-3.44666666666667,-3.08333333333333,-1.51666666666667,-1.51666666666667,-0.44,-0.196666666666667,-0.196666666666667,-2.77,-1.15333333333333,-1.15333333333333,-1.26333333333333,-3.14333333333333,-3.14333333333333,-0.166666666666667,1.86666666666667,1.86666666666667,-4.23333333333333,-4.83333333333333,-4.83333333333333,-1.23333333333333,-2.56666666666667,-2.56666666666667,-3.6,-4.73333333333333,-4.73333333333333,-2.56,-4.21,-4.21,-2.57,1.27,1.27
"CA-Ca1",-125.3336,49.8673,-125.354166666667,49.8541666666667,1312,964,0.543333333333333,0.563333333333333,0.563333333333333,-1.26,-1.45,-1.45,-2.2,3.72666666666667,3.72666666666667,-1.72,-1.83333333333333,-1.83333333333333,-1.18,-2.01,-2.01,0.736666666666667,0.23,0.23,3.85666666666667,5.10666666666667,5.10666666666667,2.68666666666667,0.186666666666667,0.186666666666667,3.62666666666667,3.73333333333333,3.73333333333333,-0.53,0.983333333333333,0.983333333333333,-2.75,-0.643333333333333,-0.643333333333333,1.43,-0.456666666666667,-0.456666666666667,-3.16,-3.63333333333333,-3.63333333333333,-3.66666666666667,-4.21,-4.21,1.35333333333333,1.48,1.48,-1.16333333333333,-2.61666666666667,-2.61666666666667,2.55333333333333,1.8,1.8,-2.06,-2.15666666666667,-2.15666666666667,-3.68666666666667,-4.34666666666667,-4.34666666666667,-2.34333333333333,-2.14,-2.14,1.90666666666667,1.77666666666667,1.77666666666667,1.09333333333333,1.43333333333333,1.43333333333333,-1.01333333333333,-1.04,-1.04,-1.55,-1.94,-1.94,-2.62666666666667,-5.12333333333333,-5.12333333333333,-3.46666666666667,-4,-4,1.93333333333333,0.8,0.8,-1.96666666666667,-2.83333333333333,-2.83333333333333,-3.53333333333333,-4.26666666666667,-4.26666666666667,-3.01333333333333,-2.06333333333333,-2.06333333333333,-2.26333333333333,-3.40333333333333,-3.40333333333333
"CA-Ca2",-125.2909,49.8705,-125.270833333333,49.8541666666667,1314,964,0.546666666666667,0.513333333333333,0.513333333333333,-0.55,-1.12,-1.12,-0.986666666666667,3.78333333333333,3.78333333333333,-1.76,-1.85,-1.85,-1.10333333333333,-2.03,-2.03,0.71,0.263333333333333,0.263333333333333,3.99666666666667,5.30666666666667,5.30666666666667,2.88,0.263333333333333,0.263333333333333,3.56333333333333,3.71666666666667,3.71666666666667,-0.516666666666667,1.03,1.03,-2.84,-1.45666666666667,-1.45666666666667,1.09333333333333,-0.54,-0.54,-3.21666666666667,-3.59666666666667,-3.59666666666667,-3.60333333333333,-4.26,-4.26,1.25333333333333,1.27333333333333,1.27333333333333,-1.21333333333333,-2.62666666666667,-2.62666666666667,2.51333333333333,1.7,1.7,-2.06,-2.21666666666667,-2.21666666666667,-3.85666666666667,-4.36333333333333,-4.36333333333333,-2.24333333333333,-2.02,-2.02,1.99333333333333,1.92,1.92,1.05,1.39333333333333,1.39333333333333,-0.753333333333333,-0.533333333333333,-0.533333333333333,-1.52333333333333,-1.86333333333333,-1.86333333333333,-2.39666666666667,-4.87,-4.87,-3.16666666666667,-3.9,-3.9,2,0.8,0.8,-1.96666666666667,-2.8,-2.8,-3.5,-4.33333333333333,-4.33333333333333,-2.99,-2.25666666666667,-2.25666666666667,-2.47666666666667,-3.68,-3.68
"CA-Ca3",-124.9004,49.5346,-124.895833333333,49.5208333333333,1323,972,1.09666666666667,1.36,1.36,-1.74,-1.82333333333333,-1.82333333333333,-2.38333333333333,3.63666666666667,3.63666666666667,-1.90666666666667,-1.91333333333333,-1.91333333333333,-1.16333333333333,-2.06666666666667,-2.06666666666667,0.713333333333333,0.173333333333333,0.173333333333333,4.67333333333333,5.71333333333333,5.71333333333333,2.45,0.08,0.08,3.35666666666667,3.49,3.49,0.146666666666667,1.34666666666667,1.34666666666667,-3.06,-1.87333333333333,-1.87333333333333,1.03,-0.78,-0.78,-3.59,-4.04333333333333,-4.04333333333333,-3.76666666666667,-4.38,-4.38,-1.16666666666667,-0.866666666666667,-0.866666666666667,-1.37333333333333,-2.54333333333333,-2.54333333333333,2.10333333333333,1.3,1.3,-2.08,-2.08666666666667,-2.08666666666667,-3.72,-4.21,-4.21,-2.13666666666667,-1.60333333333333,-1.60333333333333,2.10666666666667,2.04,2.04,1,1.39666666666667,1.39666666666667,0.0866666666666666,0.0733333333333333,0.0733333333333333,-1.35666666666667,-1.66666666666667,-1.66666666666667,-2.20333333333333,-4.66333333333333,-4.66333333333333,-2.7,-3.63333333333333,-3.63333333333333,2.4,1.73333333333333,1.73333333333333,-1.8,-2.8,-2.8,-3.7,-4.53333333333333,-4.53333333333333,-3.67666666666667,-2.54333333333333,-2.54333333333333,-2.47666666666667,-3.95666666666667,-3.95666666666667
"CA-Cbo",-79.9333,44.3167,-79.9375,44.3125,2402,1097,3.72333333333333,1.79666666666667,1.79666666666667,-1.9,0.886666666666667,0.886666666666667,3.19,2.91666666666667,2.91666666666667,1.03333333333333,2.29666666666667,2.29666666666667,-0.273333333333333,-1.37333333333333,-1.37333333333333,2.12666666666667,3.97333333333333,3.97333333333333,3.92,2.51,2.51,1.57666666666667,-0.876666666666667,-0.876666666666667,-4.81333333333333,-5.43666666666667,-5.43666666666667,-4.01333333333333,2.33666666666667,2.33666666666667,-0.423333333333333,-2.73666666666667,-2.73666666666667,1.17666666666667,1.10666666666667,1.10666666666667,-0.506666666666667,1.57666666666667,1.57666666666667,0.696666666666667,2.89666666666667,2.89666666666667,0.53,-2.19666666666667,-2.19666666666667,-1.02333333333333,-1.07333333333333,-1.07333333333333,2.99333333333333,-1.61666666666667,-1.61666666666667,2.12,1.95666666666667,1.95666666666667,2.14,2.85666666666667,2.85666666666667,-2.10333333333333,-1.27,-1.27,2.14666666666667,2.68,2.68,-0.346666666666667,-4.13333333333333,-4.13333333333333,1.82666666666667,3.89666666666667,3.89666666666667,3.94,3.99666666666667,3.99666666666667,0.94,2.10666666666667,2.10666666666667,-0.233333333333333,-2.46666666666667,-2.46666666666667,3.13333333333333,5.16666666666667,5.16666666666667,5.66666666666667,3.96666666666667,3.96666666666667,5.53333333333333,6.16666666666667,6.16666666666667,4.67666666666667,2.67,2.67,0.483333333333333,0.583333333333333,0.583333333333333
"CA-Gro",-82.1556,48.2167,-82.1458333333333,48.2291666666667,2349,1003,-1.40666666666667,-3.39,-3.39,-1.86333333333333,-2.30666666666667,-2.30666666666667,-0.616666666666667,1.91,1.91,-1.19,0.52,0.52,-0.143333333333333,-1.59333333333333,-1.59333333333333,1.49333333333333,-3.70435742265881e-17,-3.70435742265881e-17,1.51333333333333,-0.166666666666667,-0.166666666666667,-3.02666666666667,-4.61333333333333,-4.61333333333333,-2.93333333333333,-3.39333333333333,-3.39333333333333,-3.11333333333333,-1.10666666666667,-1.10666666666667,-2.41666666666667,-3.26,-3.26,2.4,2.1,2.1,-1.07333333333333,-1.93333333333333,-1.93333333333333,1.47,2.32333333333333,2.32333333333333,-2.15,-4.78333333333333,-4.78333333333333,-2.87333333333333,-4.68333333333333,-4.68333333333333,-3.08666666666667,-3.38666666666667,-3.38666666666667,1.42,3.12333333333333,3.12333333333333,-1.20666666666667,2.04333333333333,2.04333333333333,-4.32666666666667,-4.54333333333333,-4.54333333333333,0.0866666666666667,-0.96,-0.96,-2.12333333333333,-3.66333333333333,-3.66333333333333,-1.59333333333333,2.01,2.01,4.51333333333333,5.41,5.41,5.27,4.03,4.03,2.36666666666667,0.833333333333333,0.833333333333333,1.06666666666667,2.7,2.7,2.8,-0.866666666666667,-0.866666666666667,3.36666666666667,2.96666666666667,2.96666666666667,2.11666666666667,3.16333333333333,3.16333333333333,-2.08,-2.53666666666667,-2.53666666666667
"CA-Man",-98.48081,55.87962,-98.4791666666667,55.8958333333333,1957,819,-2.75,-2.93,-2.93,-1.69,-2.22666666666667,-2.22666666666667,-2,1.51333333333333,1.51333333333333,1.16666666666667,-0.623333333333333,-0.623333333333333,-1.93666666666667,-0.833333333333333,-0.833333333333333,1.77666666666667,2.48333333333333,2.48333333333333,1.02333333333333,0.133333333333333,0.133333333333333,-0.843333333333333,-2.64333333333333,-2.64333333333333,0.08,1.23666666666667,1.23666666666667,-0.58,1.48333333333333,1.48333333333333,-1.76666666666667,2.97666666666667,2.97666666666667,-1.83666666666667,-1.57666666666667,-1.57666666666667,-0.6,-1.61,-1.61,2.22666666666667,4.28333333333333,4.28333333333333,3.57333333333333,3.78333333333333,3.78333333333333,3.97666666666667,2.61666666666667,2.61666666666667,0.216666666666667,-0.61,-0.61,-1.87666666666667,-1.92,-1.92,-1.79666666666667,3.67666666666667,3.67666666666667,1.27666666666667,3.42,3.42,2.11333333333333,1.81333333333333,1.81333333333333,-2.73,-3.72,-3.72,-3.99666666666667,-2.94333333333333,-2.94333333333333,-2.44666666666667,-2.65666666666667,-2.65666666666667,-4.01333333333333,-3.74333333333333,-3.74333333333333,-2.96666666666667,-1.53333333333333,-1.53333333333333,1.46666666666667,1.73333333333333,1.73333333333333,-1.03333333333333,-1.93333333333333,-1.93333333333333,-2.06666666666667,0.0333333333333334,0.0333333333333334,2.24333333333333,6.91,6.91,7.07333333333333,4.67333333333333,4.67333333333333
