"SITE_ID","SITE_LON","SITE_LAT","TC_LON","TC_LAT","TC_LON_IND","TC_LAT_IND","aet_01","aet_02","aet_03","aet_04","aet_05","aet_06","aet_07","aet_08","aet_09","aet_10","aet_11","aet_12","def_01","def_02","def_03","def_04","def_05","def_06","def_07","def_08","def_09","def_10","def_11","def_12","pet_01","pet_02","pet_03","pet_04","pet_05","pet_06","pet_07","pet_08","pet_09","pet_10","pet_11","pet_12","ppt_01","ppt_02","ppt_03","ppt_04","ppt_05","ppt_06","ppt_07","ppt_08","ppt_09","ppt_10","ppt_11","ppt_12","q_01","q_02","q_03","q_04","q_05","q_06","q_07","q_08","q_09","q_10","q_11","q_12","soil_01","soil_02","soil_03","soil_04","soil_05","soil_06","soil_07","soil_08","soil_09","soil_10","soil_11","soil_12","srad_01","srad_02","srad_03","srad_04","srad_05","srad_06","srad_07","srad_08","srad_09","srad_10","srad_11","srad_12","swe_01","swe_02","swe_03","swe_04","swe_05","swe_06","swe_07","swe_08","swe_09","swe_10","swe_11","swe_12","tmax_01","tmax_02","tmax_03","tmax_04","tmax_05","tmax_06","tmax_07","tmax_08","tmax_09","tmax_10","tmax_11","tmax_12","tmin_01","tmin_02","tmin_03","tmin_04","tmin_05","tmin_06","tmin_07","tmin_08","tmin_09","tmin_10","tmin_11","tmin_12","vap_01","vap_02","vap_03","vap_04","vap_05","vap_06","vap_07","vap_08","vap_09","vap_10","vap_11","vap_12","vpd_01","vpd_02","vpd_03","vpd_04","vpd_05","vpd_06","vpd_07","vpd_08","vpd_09","vpd_10","vpd_11","vpd_12","ws_01","ws_02","ws_03","ws_04","ws_05","ws_06","ws_07","ws_08","ws_09","ws_10","ws_11","ws_12"
"AT-Neu",11.3175,47.11667,11.3125,47.1041666666667,4592,1030,0.3,2.5,16.6,56.2,79.1,96.3,104.8,89.5,61.2,39.3,9.7,0.5,0,0,0,1.3,8.3,2.7,4.3,3.2,3.6,1.6,0,0,0.3,2.5,16.6,57.4,87.4,99,109.1,92.6,64.7,40.8,9.7,0.5,43.3,41.4,64,62.9,98.5,130.3,139.1,134.5,92.3,71.6,66.2,56.2,3.1,16,66,124,29.5,32.4,34.3,44.3,32.4,31.8,28.7,2.4,21.3,21.3,21.4,20.4,17.2,18.9,18.8,19.6,18.4,18.9,20.7,21.3,55.9,91.7,137.8,188.4,215.7,230.7,227.6,195.5,153.1,107.1,60.6,44.6,119.2,142,123.2,6.9,0,0,0,0,0,0,26,78.8,0.7,1.7,4.9,8.8,13.9,16.9,19.6,18.7,15,10.8,4.4,0.9,-7.2,-6.7,-3.9,-0.5,4,6.9,9.2,9.1,6,2.5,-2.5,-6,0.37,0.36,0.45,0.57,0.78,0.99,1.13,1.15,0.94,0.71,0.5,0.38,0.14,0.18,0.22,0.29,0.43,0.49,0.61,0.52,0.4,0.31,0.18,0.15,2.3,2.3,2.5,2.5,2.5,2.4,2.2,2.1,2.2,2.1,2.3,2.2
"BE-Bra",4.51984,51.30761,4.52083333333334,51.3125,4429,929,16.9,19.8,40.6,57.1,74.6,74.9,74.7,68.2,56,39.1,20,14.3,0,0.1,1.6,10.6,23.5,31.6,38.8,31,8.5,0.6,0,0,16.9,19.9,42.2,67.7,98.1,106.6,113.6,99.3,64.6,39.8,20,14.3,71.2,57.6,64.3,48.4,62.1,73,78.7,73.9,77.3,78.5,76.9,78.8,50.4,39.5,31.6,7.2,4,3.7,4.4,5,11.9,21.4,45.2,58.4,66.4,66.2,63.7,48,31.4,25.8,25.3,26,35.3,53.3,64.9,66.4,29.4,54.7,97.8,157.8,197.1,210.8,203.2,174.9,124,75.2,35.7,22.6,6.9,5.5,0.1,0,0,0,0,0,0,0,0,4.5,6.2,6.6,10.4,13.9,18.5,21.2,23.3,22.9,19.5,14.9,9.5,6.5,1,0.7,3.3,5.6,9.3,11.8,14,13.8,11.1,7.9,4.3,1.8,0.67,0.65,0.77,0.85,1.09,1.34,1.53,1.54,1.36,1.11,0.87,0.72,0.14,0.17,0.26,0.41,0.57,0.63,0.72,0.66,0.44,0.28,0.15,0.12,4.8,4.4,4.5,3.7,3.7,3.5,3.3,3.3,3.4,3.8,3.8,4.1
"BE-Dor",4.968591,50.31135,4.97916666666666,50.3125,4440,953,11.2,15.8,39.6,59.1,78.7,80,78.5,75.5,54.4,37.8,19.2,14.2,0,0.1,1.3,7.6,13.4,22.1,33.3,22.9,9.4,1,0,0,11.2,15.9,40.8,66.6,92.1,102.2,111.7,98.4,63.7,38.8,19.2,14.2,73.5,65.2,66.8,60.4,72.8,78.5,79.4,89.2,68.3,74.2,76.9,78.8,53.2,49.3,43.3,13.5,7.7,6.2,5.9,8.5,7.3,23.2,44.6,55.3,69,68.8,66.8,55.6,41.9,34.1,29.1,34.3,40.9,54.1,66.9,68.9,31.5,57.9,105.5,163.5,201.8,218.8,213.4,177.4,130.2,79.4,37,24.4,14.7,15,0.9,0,0,0,0,0,0,0,0.3,7.6,4.7,5.5,9.8,13.5,17.8,20.5,22.6,22.4,18.8,14.2,8.4,5.2,-0.5,-0.5,1.7,3.8,7.5,10.1,12.5,12.5,9.5,6.6,3.1,0.6,0.63,0.61,0.72,0.8,1.06,1.29,1.45,1.43,1.29,1.05,0.81,0.64,0.1,0.16,0.24,0.38,0.5,0.55,0.67,0.66,0.41,0.26,0.14,0.12,4.5,4.2,4.3,3.6,3.4,3.1,3.1,3.1,3.3,3.8,3.9,4.2
"BE-Vie",5.99812,50.30493,5.97916666666666,50.3125,4464,953,7.2,10.5,34.3,59.6,81.2,86.7,87.9,77.9,55.7,35.7,16,8.5,0,0,0.2,3,9.6,13.4,21.2,16,4.3,0.3,0,0,7.2,10.5,34.5,62.6,90.8,100.1,109.1,93.9,60,36,16,8.5,114.8,90,96.7,76.4,85.1,88,94.5,93.5,88.5,96.7,104.3,115.8,74.8,68.8,118.5,36.2,14.1,13.4,10.4,13,21.9,47.1,81.1,82,65.9,65.9,65.5,61.3,51.2,39,35.1,37.8,48.7,62.6,65.9,65.9,33,60.3,106.2,163.5,201.9,219.6,211.4,177.5,132.6,79.8,38.1,25.9,60.2,70.9,15.1,0,0,0,0,0,0,0,3.9,29.1,2.7,3.6,7.7,11.5,16.1,18.9,20.9,20.4,16.6,12.1,6.5,3.3,-1.6,-1.7,0.5,2.9,7.2,9.6,12.1,11.8,8.7,5.5,1.9,-0.6,0.57,0.55,0.65,0.73,0.97,1.19,1.35,1.34,1.18,0.95,0.73,0.59,0.09,0.13,0.2,0.34,0.47,0.51,0.61,0.56,0.34,0.21,0.11,0.09,4.9,4.6,4.5,3.8,3.7,3.4,3.4,3.3,3.6,4.2,4.2,4.5
"CA-Ca1",-125.3336,49.8673,-125.354166666667,49.8541666666667,1312,964,7.9,15.7,36.8,57.8,74.6,80.1,71.2,60,52.2,37.7,17.9,6.8,0,0,0,0.8,9.9,17.3,45.2,42,15.2,0,0,0,7.9,15.7,36.8,58.7,84.5,97.4,116.4,102,67.4,37.7,17.9,6.8,255.8,158.2,153.8,111,68.6,63.3,39.5,49.9,57.3,207.6,296.2,228.8,208.7,210.7,166.6,62.7,10.7,5.1,2,2.5,2.9,97.8,261,139.1,130.8,130.8,130.8,129.4,112.7,90.9,57.1,44.5,46.8,118.8,130.8,130.8,32.5,70.6,108.3,164.5,213.9,229.7,237.5,197.7,145,75.3,38.5,27.2,126.2,57.9,8.3,0.1,0,0,0,0,0,0,5.3,88.1,4.2,5.6,7.5,10.4,14,17.3,21,21.5,17.9,12,6.7,3.5,-1.7,-1.3,0,1.8,4.8,7.7,10.2,10.5,7.5,4.4,0.8,-2.2,0.57,0.54,0.59,0.67,0.85,1.04,1.2,1.21,1.06,0.84,0.66,0.53,0.12,0.2,0.24,0.31,0.39,0.48,0.68,0.71,0.5,0.29,0.16,0.13,3,2.7,3,3,2.9,2.9,2.9,2.5,2.4,2.7,2.9,2.8
"CA-Ca2",-125.2909,49.8705,-125.270833333333,49.8541666666667,1314,964,11.9,19.8,41.4,62,78,81.1,67.5,56,50.2,37.8,19.1,11.2,0,0,0.1,1.3,12.5,22.5,54.7,50.2,19,0,0,0,11.9,19.8,41.4,63.3,90.5,103.6,122.2,106.1,69.2,37.8,19.1,11.2,239.7,144.8,150.8,100.8,65.7,57.6,37.6,45,54.4,185.5,275.2,227,230.9,152,120.1,41.3,8.5,3.2,1.9,2.2,2.7,70.2,237.9,177.1,133.5,133.5,133.4,131.3,110.5,83.8,52,38.7,40.2,117.7,133.5,133.5,32.4,70.1,108.6,165.3,214.4,231.5,239.5,199.4,145.9,75.2,38.1,26.8,38,11,0.4,0,0,0,0,0,0,0,2.5,41.2,5.5,6.9,9.3,12.2,16,19.1,22.5,22.9,19.2,13.2,8,4.8,-0.5,-0.4,1,3.1,6.1,9,11.3,11.2,8.3,5,1.7,-0.8,0.62,0.59,0.65,0.74,0.93,1.14,1.31,1.33,1.16,0.92,0.73,0.59,0.13,0.21,0.27,0.36,0.45,0.55,0.73,0.75,0.51,0.28,0.16,0.14,3.2,2.8,3.2,3.2,3.1,3.1,3.1,2.7,2.6,2.9,3.2,3
"CA-Ca3",-124.9004,49.5346,-124.895833333333,49.5208333333333,1323,972,12,19.1,41.9,61.9,77,78.3,66.4,54.1,48.3,39,19.2,10.4,0,0,0,1.4,13.6,24.3,55.5,52.1,21.8,0.4,0,0,12,19.1,41.9,63.3,90.7,102.7,121.9,106.2,70,39.3,19.2,10.4,254,150.4,154.5,105.5,61.3,50.1,28.4,39.3,49.3,170.9,275.6,232.5,246,159.6,126.4,46.4,7.2,2.6,1.4,2,2.5,44,228.3,177.4,159.6,159.6,159.6,157.2,134.3,103.4,64,47.2,45.8,133.7,159.6,159.6,32.5,71.4,109.8,166.2,216.6,233.1,243,202.7,148.8,77,39.1,27.1,42.7,14.3,0.5,0,0,0,0,0,0,0,2.2,46.8,5.2,6.6,9.3,12.3,16,18.9,22.4,22.8,19.3,13.4,7.9,4.4,-0.2,-0.4,1.2,3.1,6.1,9,11.2,11,8.3,5.3,2.1,-0.8,0.63,0.6,0.66,0.76,0.95,1.16,1.33,1.34,1.18,0.94,0.75,0.59,0.12,0.19,0.26,0.34,0.44,0.52,0.7,0.7,0.49,0.28,0.15,0.12,3.5,3.1,3.5,3.4,3.4,3.3,3.3,2.9,2.8,3.2,3.5,3.4
"CA-Cbo",-79.9333,44.3167,-79.9375,44.3125,2402,1097,0,0,2.3,62.5,89.4,93.7,91.9,84.2,73.6,51.4,24.2,1.1,0,0,0,0,9.7,22.5,40.9,31,9.6,1.8,0,0,0,0,2.3,62.5,99.1,116.2,132.8,115.2,83.1,53.2,24.2,1.1,72.2,56.5,50.4,59.9,78.9,79.5,77.1,82.4,88.2,76.4,88.5,74.5,0.3,0,12.4,223.1,12.8,5.8,3.8,4.1,7.6,8.7,25.4,6.7,88.6,88.6,89.4,92.5,75.9,55.9,37.2,31.4,38.4,54.6,87.7,88.3,59.5,99.5,149.3,188.1,224.3,249.6,249.2,211.9,161,98.8,56.1,46.2,144.1,200.6,235.5,6.7,0,0,0,0,0,0,5.7,71.8,-2.9,-2.3,2.2,10.7,17.6,23,26.1,25.4,21.7,14.3,7.1,0.6,-11.3,-11.4,-7.3,-0.5,5.4,10.8,13.8,13.5,9.7,3.7,-0.6,-6.6,0.34,0.32,0.42,0.62,0.94,1.44,1.71,1.71,1.37,0.89,0.63,0.42,0.04,0.07,0.13,0.33,0.53,0.64,0.79,0.7,0.55,0.33,0.17,0.09,4.4,4.3,4,4.3,3.8,3.1,3.1,3.1,3.4,4.1,4.5,4.9
"CA-Gro",-82.1556,48.2167,-82.1458333333333,48.2291666666667,2349,1003,0,0,0,32.8,91.6,92.3,85.9,76,58.7,36.3,0.8,0,0,0,0,0,5,21.3,29.2,18.4,2.6,0.3,0,0,0,0,0,32.8,96.6,113.6,115.2,94.4,61.3,36.6,0.8,0,36.4,39.5,39.4,48.6,70,77.2,81,80.4,89.1,70.4,63,46.7,0,0,0,104.7,111.8,7,4.6,6.2,10.6,18.9,3.6,0,60.8,60.8,60.8,67.4,58.9,37.2,27.7,25.8,45.6,60.6,60.8,60.8,52.6,92.2,150.8,190.9,227.1,243,233.4,194.6,139,80.2,43.7,37.3,141.8,181.4,220.8,125.3,0.4,0,0,0,0,0.2,58.5,105.2,-9.4,-6.2,0,8,16.1,21.7,23.3,22.1,17.6,9.9,1.4,-5.6,-23.1,-21.4,-15.6,-5.1,1.5,7.3,9.6,8.3,5.4,-0.3,-7,-17.2,0.19,0.22,0.29,0.46,0.75,1.16,1.44,1.41,1.14,0.7,0.46,0.29,0.02,0.04,0.11,0.29,0.52,0.66,0.61,0.48,0.33,0.22,0.06,0.01,3.6,3.8,3.8,3.8,3.8,3.3,3,3.1,3.5,3.7,3.9,3.7
"CA-Man",-98.48081,55.87962,-98.4791666666667,55.8958333333333,1957,819,0,0,0,10.1,84.2,90.8,87.6,72.8,46.7,12,0,0,0,0,0,0,0.3,25.1,32.7,22.3,6.3,0.3,0,0,0,0,0,10.1,84.5,116,120.4,95,53,12.4,0,0,21.7,16.7,19.1,25.8,47.9,63,90.7,79.7,63.5,39.4,28.9,24.2,0,0,0,17.1,65.8,6.2,7.1,8.5,9.8,3.1,0,0,34.8,34.8,34.8,37.3,50.9,26,21.9,20.4,27.4,34.8,34.8,34.8,33.4,79,144.5,208.2,242.4,257.3,233.7,186.5,115.9,63.5,34.1,22.7,92.8,109.6,128.7,124.8,9.1,0,0,0,0,16.9,45.8,70,-18.5,-14.7,-6.1,3.9,12.1,19.3,22.6,20.8,13.8,4.8,-6.8,-16,-28.5,-26.6,-20.1,-8.8,-0.7,6,9.9,8.8,3.4,-3.1,-14.9,-25.6,0.11,0.12,0.2,0.35,0.56,0.94,1.28,1.26,0.88,0.53,0.26,0.15,0,0.02,0.06,0.22,0.44,0.66,0.71,0.55,0.31,0.15,0.03,0,3.5,3.5,3.7,4.1,4,3.9,3.5,3.6,3.9,3.8,3.6,3.4
