"SITE_ID","PET","PPT","TC_aridity"
"AT-Neu",580.6,1000.3,1.72287289011368
"BE-Bra",703,840.7,1.19587482219061
"BE-Dor",674.8,884,1.31001778304683
"BE-Vie",629.2,1144.3,1.81865861411316
"CA-Ca1",649.2,1690,2.60320394331485
"CA-Ca2",696.1,1584.1,2.27567878178423
"CA-Ca3",696.7,1571.8,2.25606430314339
"CA-Cbo",689.7,884.5,1.28244164129332
"CA-Gro",551.3,741.7,1.34536549972792
"CA-Man",491.4,520.6,1.05942205942206
"CA-Oas",605.6,477.2,0.787978863936592
"CA-Obs",561.2,483.6,0.861724875267284
"CA-Qfo",471.2,968.5,2.05539049235993
"CA-TP1",746.5,994.2,1.33181513730743
"CA-TP3",748.2,974.5,1.30245923549853
"CA-TP4",737,980.1,1.32985074626866
"CA-WP1",614.7,466.9,0.759557507727347
"CH-Aws",363.3,1151,3.1681805670245
"CH-Cha",678.6,1208.7,1.78116710875332
"CH-Dav",504.1,1093.9,2.17000595120016
"CH-Fru",665.2,1410.8,2.12086590499098
"CH-Lae",681.6,1175.2,1.72417840375587
"CH-Oe1",680.9,1151.7,1.69143780290792
"CZ-BK1",563,1012.8,1.79893428063943
"CZ-Lnz",814.7,664.2,0.815269424327973
"CZ-RAJ",680.9,615.1,0.903363195770304
"CZ-Stn",687,800.4,1.16506550218341
"CZ-wet",653.5,653.9,1.00061208875287
"DE-Gri",660.6,821.1,1.24296094459582
"DE-Hai",662.1,912.8,1.37864370940945
"DE-HoH",695.1,597,0.858869227449288
"DE-Hte",597.2,608,1.01808439383791
"DE-Hzd",677.3,789.4,1.1655101136867
"DE-Lnf",651.8,894.8,1.37281374654802
"DE-Obe",557.8,839.5,1.50501972032987
"DE-RuR",619.8,1108.4,1.78831881252017
"DE-RuW",579.3,1195.8,2.06421543241844
"DE-Tha",677.5,764.9,1.1290036900369
"DK-Sor",639.4,641.7,1.00359712230216
"ES-Abr",1342.8,562.3,0.418751861781352
"ES-Agu",1298.9,248.5,0.19131572869351
"ES-LJu",1190.6,520.9,0.437510498908114
"ES-LM1",1227.8,468.9,0.381902589998371
"ES-LM2",1227.8,468.9,0.381902589998371
"FI-Hyy",447.4,676.6,1.51229324988824
"FI-Let",478.1,679.1,1.4204141393014
"FI-Sod",351.7,534.1,1.51862382712539
"FI-Var",319.7,598.6,1.8723803565843
"FR-Bil",873.1,901.9,1.03298591226664
"FR-FBn",1221.6,639.2,0.52324819908317
"FR-Fon",779.7,627,0.804155444401693
"FR-Hes",709,796.3,1.12313117066291
"FR-Pue",1156.8,639.8,0.553077455048409
"IL-Yat",1586.7,274.5,0.173000567214974
"IT-Col",792.1,785.2,0.99128897866431
"IT-Cpz",1070.9,755.1,0.705107853207582
"IT-Lav",666.9,576.5,0.864447443394812
"IT-Lsn",820.5,968,1.17976843388178
"IT-MBo",638.4,406.9,0.637374686716792
"IT-Noe",1134.3,743.8,0.655734814422992
"IT-Ren",518.1,686,1.32406871260374
"IT-Ro1",1020.5,374,0.366487016168545
"IT-Ro2",1020.5,374,0.366487016168545
"IT-SR2",1052.3,870.8,0.827520669010738
"IT-SRo",1052.3,870.8,0.827520669010738
"IT-Tor",436.6,1222.7,2.80050389372423
"NL-Hor",638.1,865.8,1.35684062059238
"NL-Loo",642.2,862.3,1.34272812208035
"RU-Fy2",518.1,715.2,1.38042848870874
"RU-Fyo",517,709.1,1.3715667311412
"SE-Deg",403.5,627.6,1.55539033457249
"SE-Htm",532.3,901.9,1.69434529400714
"SE-Nor",508.9,607.6,1.1939477303989
"SE-Ros",406.9,635.5,1.56180879823052
"SE-Svb",389.9,643.4,1.65016670941267
"US-Bar",658.2,1267,1.92494682467335
"US-Blo",1237.1,1539.3,1.24428097971061
"US-Dk2",1102.7,1156.4,1.0486986487712
"US-Dk3",1102.7,1156.4,1.0486986487712
"US-Fmf",1142.4,547.9,0.479604341736695
"US-Fuf",1134.2,566.3,0.499294657026979
"US-GLE",614,512,0.833876221498371
"US-Ha1",697.1,1119.1,1.60536508391909
"US-Ho1",666,1091,1.63813813813814
"US-IB2",869.5,934.9,1.07521564117309
"US-KFS",1117.8,1013.4,0.906602254428341
"US-Los",631.6,829.3,1.31301456618113
"US-Me2",918.6,808.1,0.87970825168735
"US-Me3",965.7,527.5,0.546235891063477
"US-MMS",921.6,1133.4,1.22981770833333
"US-Mpj",1391.8,404.8,0.290846385974996
"US-NR1",713.5,574.1,0.804625087596356
"US-Oho",851.4,872.5,1.02478271082922
"US-PFa",638.6,822.6,1.28813028499843
"US-Prr",411,314.3,0.764720194647202
"US-Seg",1572.7,252.7,0.160679086920582
"US-Ses",1572.6,245.5,0.156110899147908
"US-SRC",1795.3,381.5,0.212499303737537
"US-SRG",1658.9,547.5,0.330037976972693
"US-SRM",1754.2,457.9,0.261030669250941
"US-Syv",636.7,823.6,1.29354484058426
"US-Ton",1406.4,628.2,0.446672354948805
"US-Tw1",1312.7,377.1,0.287270511160204
"US-Uaf",433.1,293.5,0.677672592934657
"US-UMB",708.4,810.4,1.14398644833427
"US-UMd",710,797.7,1.12352112676056
"US-Var",1407.9,645.4,0.458413239576674
"US-Vcp",962.6,602.1,0.625493455225431
"US-WCr",634.4,815.5,1.28546658259773
"US-Whs",1751,352.2,0.201142204454597
"US-Wjs",1462.2,341.7,0.233688961838326
"US-Wkg",1744.3,401.1,0.229948976666858
