Site ID,Site Name,IGBP,Climate,Latitude,Longitude,Elevation,WI,Data Source,Duration_Group
AT-Neu,Neustift,GRA,Dfc,47.11667,11.3175,970,1.72,FLUXNET2015,Spring10
BE-Bra,Brasschaat,MF,Cfb,51.30761,4.51984,16,1.20,ICOS-2020,Spring10
BE-Vie,Vielsalm,MF,Cfb,50.30493,5.99812,493,1.82,ICOS-2020,Spring10
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",DBF,Dfb,44.3167,-79.9333,120,1.28,OneFlux,Spring10
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",MF,Dfb,48.2167,-82.1556,340,1.35,FLUXNET2015,Spring10
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),ENF,Dfc,55.87962,-98.48081,259,1.06,FLUXNET2015,Spring10
CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen",DBF,Dfc,53.62889,-106.19779,530,0.79,FLUXNET2015,Spring10
CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",ENF,Dfc,53.98717,-105.11779,628.94,0.86,FLUXNET2015,Spring10
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,ENF,Dfb,42.70681111,-80.34831389,184,1.30,FLUXNET2015,Spring10
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,ENF,Dfb,42.710161,-80.357376,184,1.33,OneFlux,Spring10
CH-Cha,Chamau,GRA,Cfb,47.21022,8.41044,393,1.78,ICOS-2020,Spring10
CH-Dav,Davos,ENF,Dfc,46.81533,9.85591,1639,2.17,ICOS-2020,Spring10
CH-Fru,Fruebuel,GRA,Cfb,47.11583,8.53778,982,2.12,ICOS-2020,Spring10
CH-Lae,Laegern,MF,Cfb,47.47833,8.36439,689,1.72,ICOS-2020,Spring10
CZ-BK1,Bily Kriz forest,ENF,Dfb,49.50208,18.53688,875,1.80,ICOS-2020,Spring10
CZ-Stn,Stitna,DBF,Cfb,49.035975,17.9699,562,1.17,ICOS-2020,Spring10
CZ-wet,Trebon (CZECHWET),WET,Dfb,49.02465,14.77035,426,1.00,ICOS-2020,Spring10
DE-Gri,Grillenburg,GRA,Cfb,50.95004,13.51259,385,1.24,ICOS-2020,Spring10
DE-Hai,Hainich,DBF,Cfb,51.07921,10.45217,430,1.38,ICOS-2020,Spring10
DE-Obe,Oberbarenburg,ENF,Cfb,50.78666,13.72129,734,1.51,ICOS-2020,Spring10
DE-Tha,Tharandt,ENF,Cfb,50.96256,13.56515,385,1.13,ICOS-2020,Spring10
DK-Sor,Soroe,DBF,Cfb,55.48587,11.64464,40,1.00,ICOS-2020,Spring10
ES-Agu,Aguamarga,OSH,Bsh,36.940046,-2.033208,202,0.19,ICOS-2020,Spring10
ES-LJu,Llano de los Juanes,OSH,Csb,36.92659,-2.75212,1600,0.44,ICOS-2020,Spring10
FI-Hyy,Hyytiala,ENF,Dfc,61.84741,24.29477,181,1.51,ICOS-2020,Spring10
FI-Let,Lettosuo,ENF,Dfb,60.64183,23.95952,125,1.42,ICOS-2020,Spring10
FI-Sod,Sodankyla,ENF,Dfc,67.36239,26.63859,180,1.52,FLUXNET2015,Spring10
FR-FBn,Font-Blanche,MF,Csa,43.24079,5.67865,436,0.52,ICOS-2020,Spring10
FR-Fon,Fontainebleau-Barbeau,DBF,Cfb,48.47636,2.7801,103,0.80,ICOS-2020,Spring10
FR-Pue,Puechabon,EBF,Csa,43.7413,3.5957,270,0.55,FLUXNET2015,Spring10
IL-Yat,Yatir,ENF,Csa,31.34504459,35.05198851,657,0.17,ICOS-2020,Spring10
IT-Col,Collelongo,DBF,Cfb,41.84936,13.58814,1560,0.99,FLUXNET2015,Spring10
IT-Lav,Lavarone,ENF,Dfb,45.9562,11.28132,1353,0.86,ICOS-2020,Spring10
IT-MBo,Monte Bondone,GRA,Dfb,46.01468,11.04583,1550,0.64,ICOS-2020,Spring10
IT-Noe,Arca di Noe - Le Prigionette,CSH,Csa,40.60618,8.15169,25,0.66,FLUXNET2015,Spring10
IT-Ren,Renon,ENF,Dfc,46.58686,11.43369,1730,1.32,ICOS-2020,Spring10
IT-SRo,San Rossore,ENF,Csa,43.72786,10.28444,6,0.83,FLUXNET2015,Spring10
IT-Tor,Torgnon,GRA,Dfc,45.84444,7.57806,2160,2.80,ICOS-2020,Spring10
NL-Loo,Loobos,ENF,Cfb,52.16658,5.74356,25,1.34,ICOS-2018,Spring10
RU-Fyo,Fyodorovskoye,ENF,Dfb,56.46153,32.92208,265,1.37,ICOS-2020,Spring10
SE-Deg,Degero,WET,Dfc,64.182029,19.556539,270,1.56,ICOS-2020,Spring10
US-Bar,Bartlett Experimental Forest,DBF,Dfb,44.0646,-71.2881,272,1.92,OneFlux,Spring10
US-Ha1,Harvard Forest EMS Tower (HFR1),DBF,Dfb,42.5378,-72.1715,340,1.61,FLUXNET2015,Spring10
US-Me2,Metolius mature ponderosa pine,ENF,Csb,44.4523,-121.5574,1253,0.88,OneFlux,Spring10
US-MMS,Morgan Monroe State Forest,DBF,Cfa,39.3232,-86.4131,275,1.23,OneFlux,Spring10
US-NR1,Niwot Ridge Forest (LTER NWT1),ENF,Dfc,40.0329,-105.5464,3050,0.80,FLUXNET2015,Spring10
US-Oho,Oak Openings,DBF,Dfa,41.5545,-83.8438,230,1.02,FLUXNET2015,Spring10
US-PFa,Park Falls/WLEF,MF,Dfb,45.9459,-90.2723,470,1.29,FLUXNET2015,Spring10
