"SITE_ID","SITE_NAME","SOURCE","FLUXNET-CH4","LOCATION_LAT","LOCATION_LONG","LOCATION_ELEV","IGBP","MAT","MAP","Climate","Climate Source","Notes1","Keep","START","END","Duration","SPRING","SUMMER","FALL","Notes2","min_dist_m","CRU_Aridity_P_PET","CRU_P_Annual_Mean_Total_mm","CRU_PET_Annual_Mean_Total_mm","PET","PPT","TC_aridity","Met_Var","Season","Slope","pvalue","Met_Var_Median","Npts","PearsonR","SpearmanR","RMSE","Slope_SE"
"BE-Dor","Dorinne","ICOS-2020",NA,50.31135,4.968591,247,"GRA",10,847,"Cfb","Rubel","Gourlez de la Motte et al 2016","Y",2011,2020,10,"c(2019)",NA,NA,"All good except some missing data in spring 2019, does have precip for 2020",16964.4041,1.248955801,902.0500156,722.2433448,674.8,884,1.31001778304683,"P_F_sum","Fall",-0.0224278003007881,0.951127125400541,171.788,9,-0.0240019360200914,-0.15,53.6467653665238,0.353074419418241
"CA-Ca1","British Columbia - 1949 Douglas-fir stand","OneFlux",NA,49.8673,-125.3336,300,"ENF",9.93,1369,"Cfb","AmeriFlux",NA,"Y",1996,2010,15,"c(1996:2003)","c(1996:2003)","c(1996:2003)","using 2004 to 2010 because there's a severe obvious change in GPP after 2003",14356.64149,3.287490883,1997.600034,607.6366763,649.2,1690,2.60320394331485,"P_F_sum","Fall",-0.0105811564651159,0.931143867532313,396.172,7,-0.0405930462334774,-0.285714285714286,20.9490208378712,0.116476518620771
"CA-Ca2","British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000)","OneFlux",NA,49.8705,-125.2909,300,"ENF",9.86,1474,"Cfb","AmeriFlux",NA,"Y",1999,2010,12,"c(1999, 2000, 2002, 2003, 2007, 2008)","c(1999, 2000, 2002, 2003, 2007, 2008)","c(1999, 2000, 2002, 2007)","huge year to year variations in GPP due to regrowing trees and 2002 and 2007 GPP are flat",13716.65936,3.287490883,1997.600034,607.6366763,696.1,1584.1,2.27567878178423,"P_F_sum","Fall",0.0720925139002551,0.711146112037507,477.839,6,0.195042500058637,0.257142857142857,68.1873139581296,0.181262960952874
"CA-Ca3","British Columbia - Pole sapling Douglas-fir stand","OneFlux",NA,49.5346,-124.9004,120,"ENF",9.94,1676,"Cfb","AmeriFlux",NA,"Y",2000,2016,17,"c(2001)","c(2001)",NA,"increasing GPP year over year as regrowing",26285.92623,2.720737747,1909.840034,701.9566791,696.7,1571.8,2.25606430314339,"P_F_sum","Fall",0.019688155541367,0.824838706394814,559.177,9,0.0865200022342068,0.183333333333333,33.3113002710848,0.0856856062353901
"CA-Qfo","Quebec - Eastern Boreal, Mature Black Spruce","FLUXNET2015",NA,49.6925,-74.34206,382,"ENF",-0.36,962.32,"Dfc","AmeriFlux",NA,"Y",2003,2010,8,"c(2003)","c(2003)",NA,NA,9202.072615,1.685012016,916.5566832,543.9466747,471.2,968.5,2.05539049235993,"P_F_sum","Fall",0.168343160039841,0.0980289617401138,266.1565,6,0.73211868734834,0.6,12.4314860887991,0.0783148318853319
"CA-TP1","Ontario - Turkey Point 2002 Plantation White Pine","FLUXNET2015",NA,42.66093611,-80.55951944,265,"ENF",8,1036,"Dfb","AmeriFlux",NA,"Y",2002,2014,13,"c(2002, 2014)","c(2002, 2014)","c(2002, 2006)",NA,18448.08398,1.380917087,1049.423352,759.9466772,746.5,994.2,1.33181513730743,"P_F_sum","Fall",0.0679678159172315,0.583619986755546,266.5515,6,0.285329875672919,0.0285714285714286,14.7517985061112,0.114152699582066
"CA-WP1","Alberta - Western Peatland - LaBiche River,Black Spruce/Larch Fen","OneFlux",NA,54.9538,-112.467,540,"WET",1.1,461.07,"Dfc","AmeriFlux",NA,"Y",2003,2009,7,"c(2003)","c(2003)","c(2009)","2003 spring and summer and 2009 fall gap filling are bad",26580.18873,0.770001527,471.0766744,611.7866758,614.7,466.9,0.759557507727347,"P_F_sum","Fall",0.0343800005335589,0.619377644384081,80.328,5,0.30367426369092,0.2,2.71069954409231,0.0622770502646309
"CH-Aws","Alp Weissenstein","ICOS-2020",NA,46.583306,9.790417,1988,"GRA",4,918,"Dfc","Rubel (shifted)","2014-2020 really, https://www.swissfluxnet.ethz.ch/index.php/sites/ch-aws-alp-weissenstein/site-info-ch-aws/, http://www.europe-fluxdata.eu/home/site-details?id=CH-Aws","Y",2006,2020,15,"c(2006:2014)","c(2012)","c(2006:2008, 2012)","Run inconsistently in spring from 2006 to 2014 and precip missing for 2020",18790.38102,3.893689008,2101.813368,539.8000107,363.3,1151,3.1681805670245,"P_F_sum","Fall",-0.333059150394972,0.43863485156765,368.346,5,-0.457384867137042,-0.6,52.5259444989315,0.373862606535959
"CH-Oe1","Oensingen grassland","FLUXNET2015",NA,47.28583,7.73194,450,"GRA",9,1100,"Cfb","Rubel",NA,"Y",2002,2008,7,"c(2008)",NA,NA,NA,4210.718967,1.644694133,1165.200022,708.4600101,680.9,1151.7,1.69143780290792,"P_F_sum","Fall",0.202751526880702,0.110521090266518,275.0025,6,0.714648072622236,0.828571428571429,29.2636014407218,0.0992247044516828
"CZ-Lnz","Lanzhot","ICOS-2020",NA,48.68155,16.946331,150,"DBF",9.8,518,"Cfb","Rubel","2015-2020","Y",2015,2020,6,NA,NA,NA,"precip missing in 2020 but otherwise good",16291.32392,0.658607335,548.7033429,833.1266801,814.7,664.2,0.815269424327973,"P_F_sum","Fall",-0.778256378208943,0.625678518422279,123.387,5,-0.298484764317599,-0.5,50.6945443975918,1.43673567611961
