"SITE_ID","SITE_NAME","SOURCE","FLUXNET-CH4","LOCATION_LAT","LOCATION_LONG","LOCATION_ELEV","IGBP","MAT","MAP","Climate","Climate Source","Notes1","Keep","START","END","Duration","SPRING","SUMMER","FALL","Notes2","min_dist_m","CRU_Aridity_P_PET","CRU_P_Annual_Mean_Total_mm","CRU_PET_Annual_Mean_Total_mm","PET","PPT","TC_aridity","Met_Var","Season","Slope","pvalue","Met_Var_Median","Npts","PearsonR","SpearmanR","RMSE","Slope_SE"
"AT-Neu","Neustift","FLUXNET2015","CC-BY-4.0",47.11667,11.3175,970,"GRA",6.5,852,"Dfc","Rubel",NA,"Y",2002,2012,11,NA,NA,NA,NA,15678.72823,2.703466918,1503.956693,556.3066752,580.6,1000.3,1.72287289011368,"P_F_sum","Spring",-0.9894032670234,0.18497332522423,121.804,11,-0.431630373715546,-0.736363636363636,100.770563334241,0.68924078690975
"BE-Bra","Brasschaat","ICOS-2020",NA,51.30761,4.51984,16,"MF",9.8,750,"Cfb","Rubel",NA,"Y",1996,2020,25,"c(1996:1998, 2003)","c(1996:1998, 2003)","c(1996:1998, 2003)","2003 is flat but other years look OK but 1996-1998 are missing and precip is missing from 2020",17243.09594,1.13217184,823.1266814,727.0333461,703,840.7,1.19587482219061,"P_F_sum","Spring",-0.652680693858391,0.0203492374223671,159.03,19,-0.527268161832709,-0.403508771929825,54.286893588021,0.255099632753548
"BE-Vie","Vielsalm","ICOS-2020",NA,50.30493,5.99812,493,"MF",7.8,1062,"Cfb","ICOS",NA,"Y",1996,2020,25,"c(1996, 2009)","c(1996)",NA,"Mostly good, does have precip for 2020",18659.7483,1.477707963,1048.906684,709.8200122,629.2,1144.3,1.81865861411316,"P_F_sum","Spring",-0.376964761279014,0.00483272130547067,196.441,23,-0.566456717449951,-0.454545454545455,41.9489079429474,0.119673999664878
"CA-Cbo","Ontario - Mixed Deciduous, Borden Forest Site","OneFlux",NA,44.3167,-79.9333,120,"DBF",6.66,876.34,"Dfb","AmeriFlux",NA,"Y",1994,2018,25,"c(1994, 1995, 1996, 1997, 2001, 2004, 2005)","c(1994:1997, 2001, 2004)","c(1994:1997, 2001, 2004)","2001 gap filling for spring is way way too high",16368.1788,1.23392574,884.7700148,717.0366789,689.7,884.5,1.28244164129332,"P_F_sum","Spring",-0.167905989493422,0.634355618785051,234.5315,14,-0.139491618309284,-0.0197802197802198,61.039753885022,0.344080905615967
"CA-Gro","Ontario - Groundhog River, Boreal Mixedwood Forest","FLUXNET2015",NA,48.2167,-82.1556,340,"MF",1.3,831,"Dfb","AmeriFlux",NA,"Y",2003,2014,12,"c(2003)","c(2003, 2014)","c(2014)",NA,7911.86138,1.471994869,886.0133509,601.9133419,551.3,741.7,1.34536549972792,"P_F_sum","Spring",-0.407044012937643,0.0387114815567487,187.349,11,-0.627603769639384,-0.509090909090909,26.4118956143271,0.168310633504151
"CA-Man","Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area)","FLUXNET2015",NA,55.87962,-98.48081,259,"ENF",-3.2,520,"Dfc","AmeriFlux",NA,"Y",1994,2008,15,"c(1994, 2004:2006)","c(2004:2006)","c(2004:2005)",NA,20388.31372,0.95170637,499.8266756,525.1900075,491.4,520.6,1.05942205942206,"P_F_sum","Spring",-0.433299412638088,0.4324181470225,45.413,11,-0.264201850977676,-0.290909090909091,37.7360829746681,0.52725237671943
"CA-Oas","Saskatchewan - Western Boreal, Mature Aspen","FLUXNET2015",NA,53.62889,-106.19779,530,"DBF",0.34,428.53,"Dfc","AmeriFlux",NA,"Y",1996,2010,15,"c(1996)",NA,NA,NA,13898.70966,0.733886942,455.7266735,620.9766758,605.6,477.2,0.787978863936592,"P_F_sum","Spring",0.0590311093244429,0.854593340524911,83.9895,14,0.05397560713727,-0.0857142857142857,49.1781338995813,0.315253003371401
"CA-Obs","Saskatchewan - Western Boreal, Mature Black Spruce","FLUXNET2015",NA,53.98717,-105.11779,628.94,"ENF",0.79,405.6,"Dfc","AmeriFlux",NA,"Y",1997,2010,14,"1997:1999","1997:1998","1997:1998",NA,27760.21284,0.726392894,457.8333403,630.2833414,561.2,483.6,0.861724875267284,"P_F_sum","Spring",0.38320165989908,0.11833954235598,86.006,11,0.498789322475377,0.427272727272727,29.6354800907345,0.22195729904459
"CA-TP3","Ontario - Turkey Point 1974 Plantation White Pine","FLUXNET2015",NA,42.70681111,-80.34831389,184,"ENF",8,1036,"Dfb","AmeriFlux",NA,"Y",2002,2014,13,"c(2002)","c(2002)","c(2002)",NA,9356.853863,1.334520745,1020.25002,764.5066772,748.2,974.5,1.30245923549853,"P_F_sum","Spring",-0.571524076664473,0.0221208781487625,287.425,10,-0.7074108110955,-0.6,44.7600056739155,0.201890552020596
"CA-TP4","Ontario - Turkey Point 1939 Plantation White Pine","OneFlux",NA,42.710161,-80.357376,184,"ENF",8,1036,"Dfb","AmeriFlux",NA,"Y",2002,2017,16,"c(2002)",NA,NA,"2002 is too low and has low NEE QC in spring",9825.673816,1.334520745,1020.25002,764.5066772,737,980.1,1.32985074626866,"P_F_sum","Spring",-0.113145562150222,0.504447818182597,272.163,15,-0.187045605736172,-0.182142857142857,46.1961678568588,0.164810596933989
"CH-Cha","Chamau","ICOS-2020","CC-BY-4.0",47.21022,8.41044,393,"GRA",9.5,1136,"Cfb","Rubel",NA,"Y",2005,2020,16,"c(2005, 2009)","c(2005, 2009)",NA,"couple of missing years and no precip data for 2020",12896.73357,1.846243504,1230.256688,666.3566779,678.6,1208.7,1.78116710875332,"P_F_sum","Spring",-0.14309561204644,0.868159493551098,272.8065,12,-0.053780144057856,-0.125874125874126,224.52810108602,0.840185901110909
"CH-Dav","Davos","ICOS-2020","CC-BY-4.0",46.81533,9.85591,1639,"ENF",2.8,1062,"Dfc","Rubel (shifted)",NA,"Y",1997,2020,24,"c(2011)","c(2011)","c(2011)","Looks like 2011 is all fill but missing label in NEE QC also precip is missing for 2020",10853.746,3.893689008,2101.813368,539.8000107,504.1,1093.9,2.17000595120016,"P_F_sum","Spring",-0.0042090237580563,0.980942405363864,163.0625,22,-0.00540850907138236,0.00508187464709204,43.2811768455228,0.174013308692961
"CH-Fru","Fruebuel","ICOS-2020",NA,47.11583,8.53778,982,"GRA",7.2,1651,"Cfb","Rubel",NA,"Y",2005,2020,16,"c(2005)","c(2005)","c(2006, 2009)","2005 has issues for spring and summer and couple of missing years in fall and precip is missing for 2020",21904.58202,1.874169809,1252.920019,668.5200098,665.2,1410.8,2.12086590499098,"P_F_sum","Spring",-0.365149855109189,0.140415202674334,374.822,14,-0.41467235810698,-0.410989010989011,89.937693691489,0.231314508841183
"CH-Lae","Laegern","ICOS-2020",NA,47.47833,8.36439,689,"MF",8.3,1100,"Cfb","Rubel",NA,"Y",2004,2020,17,"c(2004)",NA,NA,"some gaps in spring 2005 otherwise precip missing for 2020 as well",26811.11463,1.846243504,1230.256688,666.3566779,681.6,1175.2,1.72417840375587,"P_F_sum","Spring",-0.373327843629404,0.214359945482702,185.503,15,-0.340447349700354,-0.289285714285714,85.4043956681166,0.285968609120778
"CZ-BK1","Bily Kriz forest","ICOS-2020",NA,49.50208,18.53688,875,"ENF",6.7,1316,"Dfb","Rubel",NA,"Y",2004,2020,17,NA,NA,NA,"few low NEE QC but otherwise OK precip missing for 2020",31553.34926,1.408969443,977.1766846,693.5400119,563,1012.8,1.79893428063943,"P_F_sum","Spring",-0.0420138309485203,0.796821789656017,285.434,14,-0.0757759296706301,0.0241758241758242,53.6363952859336,0.159595240747915
"CZ-Stn","Stitna","ICOS-2020",NA,49.035975,17.9699,562,"DBF",8.7,685,"Cfb","Rubel","2010-2020, http://www.europe-fluxdata.eu/home/site-details?id=CZ-Stn","Y",2010,2020,11,NA,NA,NA,"precip missing in 2020 but otherwise good",28674.5804,1.042001053,772.5500136,741.4100121,687,800.4,1.16506550218341,"P_F_sum","Spring",-0.0760168185627151,0.841881865089147,148.867,10,-0.0726650485842001,0.00606060606060606,58.000670097397,0.368883735597821
"CZ-wet","Trebon (CZECHWET)","ICOS-2020",NA,49.02465,14.77035,426,"WET",7.7,604,"Dfb","ICOS","2006-2020","Y",2006,2020,15,"c(2006)",NA,NA,"gaps in spring 2006 and precip missing in 2020",25101.51096,0.846968439,655.5733445,774.0233454,653.5,653.9,1.00061208875287,"P_F_sum","Spring",-0.0649614740727241,0.846663393600605,131.627,13,-0.0595905133824771,-0.0769230769230769,34.9823217222255,0.328102797285268
"DE-Gri","Grillenburg","ICOS-2020",NA,50.95004,13.51259,385,"GRA",7.8,901,"Cfb","Rubel",NA,"Y",2004,2020,17,NA,NA,NA,"precip missing in 2020",27794.92529,0.705067769,573.8100118,813.8366796,660.6,821.1,1.24296094459582,"P_F_sum","Spring",-0.41731558232509,0.424011383134266,190.683,16,-0.214953927843843,-0.252941176470588,108.901675200294,0.506737069253946
"DE-Hai","Hainich","ICOS-2020",NA,51.07921,10.45217,430,"DBF",8.3,720,"Cfb","Rubel",NA,"Y",2000,2020,21,NA,NA,NA,"has precip for 2020",23651.32035,1.013801106,655.4900121,646.5666767,662.1,912.8,1.37864370940945,"P_F_sum","Spring",-0.296408142382108,0.176650132449823,175.024,21,-0.306455811800057,-0.279220779220779,54.6334977208539,0.211217500094447
"DE-Obe","OberbÃ¤renburg","ICOS-2020",NA,50.78666,13.72129,734,"ENF",5.5,996,"Cfb","Rubel",NA,"Y",2008,2020,13,NA,NA,NA,"precip missing in 2020",4549.039401,0.705067769,573.8100118,813.8366796,557.8,839.5,1.50501972032987,"P_F_sum","Spring",-0.72164472966933,0.0517777385022277,213.2465,12,-0.572404649445546,-0.622377622377623,51.904322299187,0.326903024204598
